"[0.0, -4.931, 0.0, 5.603409090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.09805965909090911, 0.2829721590909091]",2020-04-08 14:19:00.774801+02
"[1.0, -4.931, 0.0, 5.603409090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.19611931818181821, 0.5659443181818182]",2020-04-08 14:19:07.582665+02
"[2.0, -4.931, 0.0, 5.603409090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.29417897727272735, 0.8489164772727273]",2020-04-08 14:19:13.701123+02
"[3.0, -4.931, 0.0, 5.603409090909091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.39223863636363643, 1.1318886363636365]",2020-04-08 14:19:19.807203+02
"[4.0, -5.014, 0.0, 5.697727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.4919488636363637, 1.4196238636363638]",2020-04-08 14:19:25.947318+02
"[5.0, -5.014, 0.0, 5.697727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.591659090909091, 1.7073590909090912]",2020-04-08 14:19:32.083987+02
"[6.0, -5.014, 0.0, 5.697727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.6913693181818182, 1.9950943181818186]",2020-04-08 14:19:38.209399+02
"[7.0, -5.014, 0.0, 5.697727272727273, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.285, 0.7910795454545455, 2.282829545454546]",2020-04-08 14:19:44.316199+02
