demandHeat;demandElectricity;GasBoiler1;GasBoiler2;PV2;Battery2Discharge;Battery2Charge;PV3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;HeatBuy;HeatSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;
-10.10;-2.76;0.00;0.00;0.00;0.43;0.00;0.00;3.37;0.00;0.00;3.37;0.00;0.00;0.00;3.37;0.00;0.00;2.33;0.00;0.00;0.00;2.40;20.00;20.00;20.00;0.12
-10.60;-2.73;0.00;0.00;0.00;0.40;0.00;0.00;3.53;0.00;0.00;3.53;0.00;0.00;0.00;3.53;0.00;0.00;2.33;0.00;0.00;0.00;2.29;19.06;19.06;19.06;0.12
-7.48;-2.89;0.00;0.00;0.00;0.39;0.00;0.00;2.49;0.00;0.00;2.49;0.00;0.00;0.00;2.49;0.00;0.00;2.50;0.00;0.00;0.00;2.18;18.08;18.08;18.08;0.13
-7.37;-3.24;0.00;0.00;0.00;0.39;0.00;0.00;2.46;0.00;0.00;2.46;0.00;0.00;0.00;2.46;0.00;0.00;2.85;0.00;0.00;0.00;2.08;17.39;17.39;17.39;0.14
-11.13;-3.40;0.00;0.00;0.00;0.37;0.00;0.00;3.71;0.00;0.00;3.71;0.00;0.00;0.00;3.71;0.00;0.00;3.03;0.00;0.00;0.00;1.97;16.71;16.71;16.71;0.15
-12.40;-3.30;0.00;0.00;0.00;0.34;0.00;0.00;4.13;0.00;0.00;4.13;0.00;0.00;0.00;4.13;0.00;0.00;2.96;0.00;0.00;0.00;1.88;15.68;15.68;15.68;0.15
-9.01;-3.04;0.00;0.00;0.00;0.32;0.00;0.00;3.00;0.00;0.00;3.00;0.00;0.00;0.00;3.00;0.00;0.00;2.72;0.00;0.00;0.00;1.79;14.53;14.53;14.53;0.14
-6.91;-2.90;0.00;0.00;0.00;0.29;0.00;0.00;2.30;0.00;0.00;2.30;0.00;0.00;0.00;2.30;0.00;0.00;2.61;0.00;0.00;0.00;1.70;13.70;13.70;13.70;0.13
-8.44;-2.85;0.00;0.00;0.00;0.27;0.00;0.00;2.81;0.00;0.00;2.81;0.00;0.00;0.00;2.81;0.00;0.00;2.58;0.00;0.00;0.00;1.63;13.06;13.06;13.06;0.13
-11.09;-2.92;0.00;0.00;0.00;0.28;0.00;0.00;3.70;0.00;0.00;3.70;0.00;0.00;0.00;3.70;0.00;0.00;2.64;0.00;0.00;0.00;1.55;12.27;12.27;12.27;0.13
-9.19;-2.75;0.00;0.00;0.00;0.24;0.00;0.00;3.01;0.00;0.06;3.01;0.00;0.00;0.00;3.01;0.00;0.00;2.58;0.00;0.00;0.00;1.48;11.25;11.25;11.25;0.13
-7.68;-2.55;0.00;0.00;0.00;0.23;0.00;0.00;2.25;0.00;0.38;2.25;0.00;0.00;0.00;2.25;0.00;0.00;2.70;0.00;0.00;0.00;1.42;10.41;10.41;10.41;0.14
-8.90;-2.51;0.00;0.00;0.00;0.22;0.00;0.00;2.27;0.00;0.83;2.27;0.00;0.00;0.00;2.27;0.00;0.00;3.13;0.00;0.00;0.00;1.36;9.79;9.79;9.79;0.16
-13.04;-2.71;0.00;0.00;0.00;0.21;0.00;0.00;2.70;0.00;1.97;2.70;0.00;0.00;0.00;2.70;0.00;0.00;4.47;0.00;0.00;0.00;1.30;9.16;9.16;9.16;0.22
-11.01;-2.72;0.00;0.00;0.00;0.20;0.00;0.00;1.97;0.00;2.05;1.97;0.00;0.00;0.00;1.97;0.00;0.00;4.57;0.00;0.00;0.00;1.25;8.41;8.41;8.41;0.23
-8.91;-2.61;0.00;0.00;0.00;0.19;0.00;0.00;1.51;0.00;1.75;1.51;0.00;0.00;0.00;1.51;0.00;0.00;4.18;0.00;0.00;0.00;1.19;7.86;7.86;7.86;0.21
-8.88;-2.55;0.00;0.00;0.00;0.18;0.00;0.00;1.34;0.00;1.94;1.34;0.00;0.00;0.00;1.34;0.00;0.00;4.31;0.00;0.00;0.00;1.14;7.44;7.44;7.44;0.22
-9.63;-2.59;0.00;0.00;0.00;0.17;0.00;0.00;1.18;0.00;2.44;1.18;0.00;0.00;0.00;1.18;0.00;0.00;4.86;0.00;0.00;0.00;1.10;7.07;7.07;7.07;0.24
-8.47;-2.60;0.00;0.00;0.00;0.17;0.00;0.00;1.04;0.00;2.14;1.04;0.00;0.00;0.00;1.04;0.00;0.00;4.58;0.00;0.00;0.00;1.05;6.74;6.74;6.74;0.23
-10.58;-2.64;0.00;0.00;0.00;0.16;0.00;0.00;1.09;0.00;2.93;1.09;0.00;0.00;0.00;1.09;0.00;0.00;5.40;0.00;0.00;0.00;1.01;6.45;6.45;6.45;0.27
-14.49;-2.63;0.00;0.00;0.00;0.17;0.00;0.00;1.12;0.00;4.45;1.12;0.00;0.00;0.00;1.12;0.00;0.00;6.91;0.00;0.00;0.00;0.96;6.15;6.15;6.15;0.35
-13.43;-3.23;0.00;0.00;0.00;0.16;0.00;0.00;1.06;0.00;4.10;1.06;0.00;0.00;0.00;1.06;0.00;0.00;7.17;0.00;0.00;0.00;0.92;5.84;5.84;5.84;0.36
-10.82;-3.23;0.00;0.00;0.00;0.16;0.00;0.00;1.01;0.00;3.12;1.01;0.00;0.00;0.00;1.01;0.00;0.00;6.19;0.00;0.00;0.00;0.88;5.54;5.54;5.54;0.31
