timeStep;demandHeat;demandElectricity;GasBoiler1;ElecBuy;ElecSell;HeatBuy;HeatSell;Cost;Price;
0.00;-2.80;-0.20;2.95;0.20;0.00;0.00;0.00;0.06;0.25
1.00;-2.00;-0.28;2.11;0.28;0.00;0.00;0.00;0.05;0.25
2.00;-0.80;-0.29;0.84;0.29;0.00;0.00;0.00;0.03;0.25
3.00;-3.60;-0.32;3.79;0.32;0.00;0.00;0.00;0.08;0.25
4.00;-3.20;-0.26;3.37;0.26;0.00;0.00;0.00;0.07;0.25
5.00;-2.00;-0.19;2.11;0.19;0.00;0.00;0.00;0.05;0.25
6.00;-0.80;-0.19;0.84;0.19;0.00;0.00;0.00;0.03;0.25
7.00;-3.60;-0.21;3.79;0.21;0.00;0.00;0.00;0.08;0.25
8.00;-2.80;-0.21;2.95;0.21;0.00;0.00;0.00;0.06;0.25
9.00;-3.20;-0.30;3.37;0.30;0.00;0.00;0.00;0.08;0.25
10.00;-0.80;-0.29;0.84;0.29;0.00;0.00;0.00;0.03;0.25
11.00;-3.20;-0.32;3.37;0.32;0.00;0.00;0.00;0.08;0.25
12.00;-3.20;-0.24;3.37;0.24;0.00;0.00;0.00;0.07;0.25
13.00;-3.20;-0.27;3.37;0.27;0.00;0.00;0.00;0.07;0.25
14.00;-0.80;-0.21;0.84;0.21;0.00;0.00;0.00;0.03;0.25
15.00;-3.60;-0.22;3.79;0.22;0.00;0.00;0.00;0.08;0.25
16.00;-3.60;-0.21;3.79;0.21;0.00;0.00;0.00;0.08;0.25
17.00;-3.20;-0.31;3.37;0.31;0.00;0.00;0.00;0.08;0.25
18.00;-0.80;-0.29;0.84;0.29;0.00;0.00;0.00;0.03;0.25
19.00;-2.80;-0.32;2.95;0.32;0.00;0.00;0.00;0.07;0.25
20.00;-3.20;-0.23;3.37;0.23;0.00;0.00;0.00;0.07;0.25
21.00;-2.80;-0.20;2.95;0.20;0.00;0.00;0.00;0.06;0.25
22.00;-0.80;-0.94;0.84;0.94;0.00;0.00;0.00;0.07;0.25
23.00;-4.00;-0.37;4.21;0.37;0.00;0.00;0.00;0.10;0.25
24.00;-5.20;-0.38;5.47;0.38;0.00;0.00;0.00;0.12;0.25
25.00;-3.60;-0.86;3.79;0.86;0.00;0.00;0.00;0.12;0.25
26.00;-0.80;-0.71;0.84;0.71;0.00;0.00;0.00;0.06;0.25
27.00;-3.60;-0.33;3.79;0.33;0.00;0.00;0.00;0.09;0.25
28.00;-3.60;-0.30;3.79;0.30;0.00;0.00;0.00;0.08;0.25
29.00;-5.60;-0.31;5.89;0.31;0.00;0.00;0.00;0.12;0.25
30.00;-0.80;-0.36;0.84;0.36;0.00;0.00;0.00;0.04;0.25
31.00;-2.00;-0.29;2.11;0.29;0.00;0.00;0.00;0.05;0.25
32.00;-2.00;-0.43;2.11;0.43;0.00;0.00;0.00;0.06;0.25
33.00;-1.60;-0.94;1.68;0.94;0.00;0.00;0.00;0.09;0.25
34.00;-0.80;-0.33;0.84;0.33;0.00;0.00;0.00;0.04;0.25
35.00;-2.40;-0.31;2.53;0.31;0.00;0.00;0.00;0.06;0.25
36.00;-2.80;-0.30;2.95;0.30;0.00;0.00;0.00;0.07;0.25
37.00;-1.60;-0.29;1.68;0.29;0.00;0.00;0.00;0.05;0.25
38.00;-0.80;-0.27;0.84;0.27;0.00;0.00;0.00;0.03;0.25
39.00;-2.00;-0.82;2.11;0.82;0.00;0.00;0.00;0.09;0.25
40.00;-2.40;-0.42;2.53;0.42;0.00;0.00;0.00;0.07;0.25
41.00;-2.00;-1.34;2.11;1.34;0.00;0.00;0.00;0.12;0.25
42.00;-0.80;-1.47;0.84;1.47;0.00;0.00;0.00;0.11;0.25
43.00;-2.40;-0.34;2.53;0.34;0.00;0.00;0.00;0.06;0.25
44.00;-5.20;-0.44;5.47;0.44;0.00;0.00;0.00;0.12;0.25
45.00;-0.40;-0.33;0.42;0.33;0.00;0.00;0.00;0.03;0.25
46.00;-2.00;-0.29;2.11;0.29;0.00;0.00;0.00;0.05;0.25
47.00;-3.20;-1.47;3.37;1.47;0.00;0.00;0.00;0.15;0.25
48.00;0.00;-2.04;0.00;2.04;0.00;0.00;0.00;0.13;0.25
49.00;-2.80;-0.94;2.95;0.94;0.00;0.00;0.00;0.11;0.25
