timeStep;demandHeat1;demandHeat2;demandHeat3;demandHeat4;demandHeat5;demandElectricity;OilBoiler1;Connection12_12;Connection12_21;Connection13_13;Connection13_31;Connection14_14;Connection14_41;Connection15_15;Connection15_51;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;Connection23_23;Connection23_32;Connection24_24;Connection24_42;Connection25_25;Connection25_52;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;Connection34_34;Connection34_43;Connection35_35;Connection35_53;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;Connection45_45;Connection45_54;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;positiveDemandHeat1;positiveDemandHeat2;positiveDemandHeat3;positiveDemandHeat4;positiveDemandHeat5;demandHeat;positiveDemandElectricity;plusOilBoiler1;plusConnection12_12;plusConnection12_21;plusConnection13_13;plusConnection13_31;plusConnection14_14;plusConnection14_41;plusConnection15_15;plusConnection15_51;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusConnection23_23;plusConnection23_32;plusConnection24_24;plusConnection24_42;plusConnection25_25;plusConnection25_52;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusConnection34_34;plusConnection34_43;plusConnection35_35;plusConnection35_53;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusConnection45_45;plusConnection45_54;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-2.80;-0.52;-16.41;-9.48;-11.21;-10.29;0.00;0.00;0.00;0.00;0.00;0.00;2.82;0.00;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;1.86;0.00;3.01;0.00;7.29;0.00;0.00;2.00;0.00;45.12;9.40;0.00;0.00;2.02;0.00;0.00;0.00;0.00;2.40;20.00;20.00;20.00;0.77;2.80;0.52;16.41;9.48;11.21;40.42;10.29;0.00;0.00;0.00;0.00;0.00;0.00;2.80;0.00;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;1.67;0.00;7.51;0.00;7.04;0.00;0.00;1.80;0.00;27.52;9.19;0.00;0.00;1.81;0.00;0.00;0.00;-0.00
1.00;-2.00;-1.29;-18.91;-8.02;-12.19;-10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00;0.00;1.92;0.00;3.45;0.00;8.66;0.00;0.00;2.00;0.00;46.54;10.37;0.00;0.00;2.05;0.00;0.00;0.00;0.00;2.35;19.48;19.44;19.44;0.80;2.00;1.29;18.91;8.02;12.19;42.41;10.26;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.00;1.29;0.00;0.00;0.00;0.00;1.73;0.00;8.63;0.00;8.36;0.00;0.00;1.80;0.00;28.39;10.14;0.00;0.00;1.84;0.00;0.00;0.00;-0.00
2.00;-0.80;-0.77;-13.98;-5.46;-8.89;-10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;1.29;0.00;0.92;0.00;10.77;0.00;0.00;1.28;0.00;39.95;7.82;0.00;0.00;1.25;0.00;0.00;0.00;0.00;2.29;18.95;18.89;18.87;0.68;0.80;0.77;13.98;5.46;8.89;29.91;10.89;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;1.16;0.00;2.29;0.00;10.40;0.00;0.00;1.15;0.00;24.37;7.65;0.00;0.00;1.12;0.00;0.00;0.00;-0.00
3.00;-3.60;-0.52;-13.00;-4.29;-8.07;-12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.24;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;0.92;0.00;0.44;0.00;11.35;0.00;0.00;0.92;0.00;43.01;7.35;0.00;0.00;0.89;0.00;0.00;0.00;0.00;2.23;18.59;18.53;18.52;0.74;3.60;0.52;13.00;4.29;8.07;29.48;12.26;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.23;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;0.83;0.00;1.11;0.00;10.96;0.00;0.00;0.82;0.00;26.23;7.18;0.00;0.00;0.80;0.00;0.00;0.00;-0.00
4.00;-3.20;-1.03;-18.62;-9.31;-12.35;-12.95;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.19;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;1.65;0.00;2.91;0.00;10.03;0.00;0.00;1.61;0.00;54.04;10.96;0.00;0.00;1.64;0.00;0.00;0.00;0.00;2.17;18.34;18.28;18.28;0.93;3.20;1.03;18.62;9.31;12.35;44.51;12.95;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.19;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;1.49;0.00;7.28;0.00;9.68;0.00;0.00;1.45;0.00;32.96;10.71;0.00;0.00;1.48;0.00;0.00;0.00;-0.00
5.00;-2.00;-1.03;-24.30;-7.34;-14.92;-12.60;0.00;0.00;0.00;0.00;0.00;0.00;2.02;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;1.06;0.00;0.00;0.00;0.00;1.68;0.00;4.22;0.00;12.50;0.00;0.00;1.57;0.00;57.29;13.61;0.00;0.00;1.62;0.00;0.00;0.00;0.00;2.12;17.88;17.83;17.82;0.98;2.00;1.03;24.30;7.34;14.92;49.59;12.60;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;1.03;0.00;0.00;0.00;0.00;1.51;0.00;10.54;0.00;12.08;0.00;0.00;1.41;0.00;34.95;13.30;0.00;0.00;1.46;0.00;0.00;0.00;-0.00
6.00;-0.80;-0.77;-19.75;-3.26;-11.45;-11.59;0.00;0.00;0.00;0.00;0.00;0.00;0.81;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;1.31;0.00;2.00;0.00;13.90;0.00;0.00;1.12;0.00;46.21;10.56;0.00;0.00;1.13;0.00;0.00;0.00;0.00;2.07;17.41;17.40;17.37;0.79;0.80;0.77;19.75;3.26;11.45;36.02;11.59;0.00;0.00;0.00;0.00;0.00;0.00;0.80;0.00;0.00;0.00;0.00;0.19;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;1.18;0.00;5.01;0.00;13.43;0.00;0.00;1.01;0.00;28.19;10.32;0.00;0.00;1.01;0.00;0.00;0.00;-0.00
7.00;-3.60;-0.77;-13.70;-1.75;-7.82;-10.98;0.00;0.00;0.00;0.00;0.00;0.00;3.63;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.79;0.00;0.00;0.00;0.00;0.92;0.00;0.65;0.00;11.55;0.00;0.00;0.84;0.00;39.43;7.17;0.00;0.00;0.81;0.00;0.00;0.00;0.00;2.02;17.05;17.09;17.06;0.68;3.60;0.77;13.70;1.75;7.82;27.64;10.98;0.00;0.00;0.00;0.00;0.00;0.00;3.60;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.77;0.00;0.00;0.00;0.00;0.83;0.00;1.63;0.00;11.16;0.00;0.00;0.76;0.00;24.05;7.01;0.00;0.00;0.73;0.00;0.00;0.00;-0.00
8.00;-2.80;-1.29;-16.65;-3.25;-9.78;-10.84;0.00;0.00;0.00;0.00;0.00;0.00;2.82;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;0.00;1.32;0.00;0.00;0.00;0.00;1.15;0.00;1.92;0.00;11.08;0.00;0.00;1.00;0.00;43.40;9.00;0.00;0.00;0.98;0.00;0.00;0.00;0.00;1.97;16.79;16.85;16.83;0.74;2.80;1.29;16.65;3.25;9.78;33.78;10.84;0.00;0.00;0.00;0.00;0.00;0.00;2.80;0.00;0.00;0.00;0.00;0.17;0.00;0.00;0.00;0.00;1.29;0.00;0.00;0.00;0.00;1.04;0.00;4.80;0.00;10.71;0.00;0.00;0.90;0.00;26.47;8.80;0.00;0.00;0.89;0.00;0.00;0.00;-0.00
9.00;-3.20;-0.52;-23.41;-3.70;-13.53;-11.01;0.00;0.00;0.00;0.00;0.00;0.00;3.22;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;0.00;0.53;0.00;0.00;0.00;0.00;1.31;0.00;4.10;0.00;12.26;0.00;0.00;1.06;0.00;51.48;12.75;0.00;0.00;1.07;0.00;0.00;0.00;0.00;1.93;16.47;16.57;16.56;0.88;3.20;0.52;23.41;3.70;13.53;44.35;11.01;0.00;0.00;0.00;0.00;0.00;0.00;3.20;0.00;0.00;0.00;0.00;0.18;0.00;0.00;0.00;0.00;0.52;0.00;0.00;0.00;0.00;1.18;0.00;10.25;0.00;11.84;0.00;0.00;0.95;0.00;31.40;12.46;0.00;0.00;0.96;0.00;0.00;0.00;-0.00
