timeStep;demandHeat;demandElectricity;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;ElecBuy;ElecSell;Battery2SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusElecBuy;plusElecSell
370.00;-1.29;-1.14;0.06;1.32;0.00;0.00;1.08;0.00;0.00;0.09;0.25;1.29;1.29;1.14;0.06;1.29;0.00;0.00;1.08;-0.00
371.00;-0.52;-1.15;0.02;0.53;0.00;0.00;1.13;0.00;0.00;0.08;0.25;0.52;0.52;1.15;0.02;0.52;0.00;0.00;1.13;-0.00
372.00;-1.03;-1.17;0.00;1.05;0.00;0.00;1.17;0.00;0.00;0.09;0.25;1.03;1.03;1.17;0.00;1.03;0.00;0.00;1.17;-0.00
373.00;-0.77;-1.30;0.00;0.79;0.00;0.00;1.30;0.00;0.00;0.09;0.25;0.77;0.77;1.30;0.00;0.77;0.00;0.00;1.30;-0.00
374.00;-0.26;-1.28;0.00;0.26;0.00;0.00;1.28;0.00;0.00;0.08;0.25;0.26;0.26;1.28;0.00;0.26;0.00;0.00;1.28;-0.00
375.00;-1.29;-1.22;0.00;1.32;0.00;0.00;1.22;0.00;0.00;0.10;0.25;1.29;1.29;1.22;0.00;1.29;0.00;0.00;1.22;-0.00
376.00;-1.03;-3.06;0.00;1.05;0.00;0.00;3.06;0.00;0.00;0.21;0.25;1.03;1.03;3.06;0.00;1.03;0.00;0.00;3.06;-0.00
377.00;-1.29;-1.59;0.00;1.32;0.00;0.00;1.59;0.00;0.00;0.12;0.25;1.29;1.29;1.59;0.00;1.29;0.00;0.00;1.59;-0.00
378.00;-0.77;-1.88;0.00;0.79;0.00;0.00;1.88;0.00;0.00;0.13;0.25;0.77;0.77;1.88;0.00;0.77;0.00;0.00;1.88;-0.00
379.00;-3.09;-1.32;0.00;3.16;0.00;0.00;1.32;0.00;0.00;0.13;0.25;3.09;3.09;1.32;0.00;3.09;0.00;0.00;1.32;-0.00
380.00;0.00;-0.57;0.00;0.00;0.00;0.00;0.57;0.00;0.00;0.04;0.25;-0.00;0.00;0.57;0.00;0.00;0.00;0.00;0.57;-0.00
381.00;0.00;-0.42;0.00;0.00;0.00;0.00;0.42;0.00;0.00;0.03;0.25;-0.00;0.00;0.42;0.00;0.00;0.00;0.00;0.42;-0.00
382.00;0.00;-0.41;0.00;0.00;0.00;0.00;0.41;0.00;0.00;0.03;0.25;-0.00;0.00;0.41;0.00;0.00;0.00;0.00;0.41;-0.00
383.00;-0.26;-0.68;0.00;0.26;0.00;0.00;0.68;0.00;0.00;0.05;0.25;0.26;0.26;0.68;0.00;0.26;0.00;0.00;0.68;-0.00
384.00;-0.52;-0.56;0.00;0.53;0.00;0.00;0.56;0.00;0.00;0.04;0.25;0.52;0.52;0.56;0.00;0.52;0.00;0.00;0.56;-0.00
385.00;-1.29;-0.38;0.00;1.32;0.00;0.00;0.38;0.00;0.00;0.04;0.25;1.29;1.29;0.38;0.00;1.29;0.00;0.00;0.38;-0.00
386.00;-0.77;-0.37;0.00;0.79;0.00;0.00;0.37;0.00;0.00;0.03;0.25;0.77;0.77;0.37;0.00;0.77;0.00;0.00;0.37;-0.00
387.00;-0.52;-0.38;0.00;0.53;0.00;0.00;0.38;0.00;0.00;0.03;0.25;0.52;0.52;0.38;0.00;0.52;0.00;0.00;0.38;-0.00
388.00;-1.03;-0.39;0.00;1.05;0.00;0.00;0.39;0.00;0.00;0.04;0.25;1.03;1.03;0.39;0.00;1.03;0.00;0.00;0.39;-0.00
389.00;-1.03;-0.41;0.00;1.05;0.00;0.00;0.41;0.00;0.00;0.04;0.25;1.03;1.03;0.41;0.00;1.03;0.00;0.00;0.41;-0.00
390.00;-0.77;-0.38;0.00;0.79;0.00;0.00;0.38;0.00;0.00;0.04;0.25;0.77;0.77;0.38;0.00;0.77;0.00;0.00;0.38;-0.00
391.00;-0.77;-0.40;0.00;0.79;0.00;0.00;0.40;0.00;0.00;0.04;0.25;0.77;0.77;0.40;0.00;0.77;0.00;0.00;0.40;-0.00
392.00;-1.29;-0.37;0.00;1.32;0.00;0.00;0.37;0.00;0.00;0.04;0.25;1.29;1.29;0.37;0.00;1.29;0.00;0.00;0.37;-0.00
393.00;-0.52;-0.37;0.00;0.53;0.00;0.00;0.37;0.00;0.00;0.03;0.25;0.52;0.52;0.37;0.00;0.52;0.00;0.00;0.37;-0.00
394.00;-1.03;-0.40;0.00;1.05;0.00;0.00;0.40;0.00;0.00;0.04;0.25;1.03;1.03;0.40;0.00;1.03;0.00;0.00;0.40;-0.00
395.00;-1.03;-0.37;0.00;1.05;0.00;0.00;0.37;0.00;0.00;0.04;0.25;1.03;1.03;0.37;0.00;1.03;0.00;0.00;0.37;-0.00
396.00;-0.77;-0.37;0.00;0.79;0.00;0.00;0.37;0.00;0.00;0.03;0.25;0.77;0.77;0.37;0.00;0.77;0.00;0.00;0.37;-0.00
397.00;-1.03;-0.39;0.00;1.05;0.00;0.00;0.39;0.00;0.00;0.04;0.25;1.03;1.03;0.39;0.00;1.03;0.00;0.00;0.39;-0.00
398.00;-1.03;-0.38;0.00;1.05;0.00;0.00;0.38;0.00;0.00;0.04;0.25;1.03;1.03;0.38;0.00;1.03;0.00;0.00;0.38;-0.00
399.00;-1.29;-0.38;0.00;1.32;0.00;0.00;0.38;0.00;0.00;0.04;0.25;1.29;1.29;0.38;0.00;1.29;0.00;0.00;0.38;-0.00
400.00;-0.26;-0.38;0.00;0.26;0.00;0.00;0.38;0.00;0.00;0.03;0.25;0.26;0.26;0.38;0.00;0.26;0.00;0.00;0.38;-0.00
401.00;-1.55;-0.40;0.00;1.58;0.00;0.00;0.40;0.00;0.00;0.05;0.25;1.55;1.55;0.40;0.00;1.55;0.00;0.00;0.40;-0.00
402.00;-1.55;-0.38;0.00;1.58;0.00;0.00;0.38;0.00;0.00;0.05;0.25;1.55;1.55;0.38;0.00;1.55;0.00;0.00;0.38;-0.00
403.00;-1.03;-0.38;0.00;1.05;0.00;0.00;0.38;0.00;0.00;0.04;0.25;1.03;1.03;0.38;0.00;1.03;0.00;0.00;0.38;-0.00
