timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
0.00;-16.41;-4.40;0.00;0.00;16.41;0.00;0.00;4.40;0.00;20.00;0.28;0.25;16.41;16.41;4.40;0.00;0.00;14.77;0.00;0.00;4.40;-0.00
1.00;-18.91;-4.50;0.00;0.00;18.91;0.00;0.00;4.50;0.00;15.44;0.28;0.25;18.91;18.91;4.50;0.00;0.00;17.02;0.00;0.00;4.50;-0.00
2.00;-13.98;-4.97;0.00;0.00;13.98;0.00;0.00;4.97;0.00;10.19;0.31;0.25;13.98;13.98;4.97;0.00;0.00;12.59;0.00;0.00;4.97;-0.00
3.00;-13.00;-5.38;0.00;0.00;13.00;0.00;0.00;5.38;0.00;6.30;0.34;0.25;13.00;13.00;5.38;0.00;0.00;11.70;0.00;0.00;5.38;-0.00
4.00;-18.62;-5.38;0.00;9.10;9.70;0.00;0.00;5.38;0.00;2.69;0.47;0.25;18.62;18.62;5.38;0.00;8.92;8.73;0.00;0.00;5.38;-0.00
5.00;-24.30;-5.34;0.00;20.00;0.00;0.00;1.88;7.22;0.00;0.00;0.75;0.25;24.30;24.30;5.34;0.00;19.60;0.00;0.00;4.70;7.22;-0.00
6.00;-19.75;-5.03;0.00;20.00;0.00;0.00;0.06;5.09;0.00;0.00;0.61;0.25;19.75;19.75;5.03;0.00;19.60;0.00;0.00;0.15;5.09;-0.00
7.00;-13.70;-4.88;0.00;13.98;0.00;0.00;0.00;4.88;0.00;0.00;0.51;0.25;13.70;13.70;4.88;0.00;13.70;0.00;0.00;0.00;4.88;-0.00
8.00;-16.65;-4.78;0.00;16.99;0.00;0.00;0.00;4.78;0.00;0.00;0.55;0.25;16.65;16.65;4.78;0.00;16.65;0.00;0.00;0.00;4.78;-0.00
9.00;-23.41;-4.88;0.00;20.00;0.00;0.00;1.52;6.41;0.00;0.00;0.70;0.25;23.41;23.41;4.88;0.00;19.60;0.00;0.00;3.81;6.41;-0.00
