timeStep;demandHeat;demandElectricity;GasBoiler1;ElecBuy;ElecSell;HeatBuy;HeatSell;Cost;Price;
65.00;-1.60;-0.36;1.68;0.36;0.00;0.00;0.00;0.06;0.30
66.00;-0.80;-0.50;0.84;0.50;0.00;0.00;0.00;0.05;0.30
67.00;-2.00;-0.37;2.11;0.37;0.00;0.00;0.00;0.06;0.30
68.00;-2.00;-0.28;2.11;0.28;0.00;0.00;0.00;0.06;0.30
69.00;-1.60;-0.41;1.68;0.41;0.00;0.00;0.00;0.06;0.30
70.00;-1.20;-0.44;1.26;0.44;0.00;0.00;0.00;0.05;0.30
71.00;-2.00;-0.42;2.11;0.42;0.00;0.00;0.00;0.07;0.30
72.00;-2.00;-0.39;2.11;0.39;0.00;0.00;0.00;0.07;0.30
73.00;-1.20;-0.39;1.26;0.39;0.00;0.00;0.00;0.05;0.30
74.00;-1.20;-0.39;1.26;0.39;0.00;0.00;0.00;0.05;0.30
75.00;-2.00;-0.46;2.11;0.46;0.00;0.00;0.00;0.07;0.30
76.00;-2.00;-2.72;2.11;2.72;0.00;0.00;0.00;0.24;0.30
77.00;-6.40;-1.50;6.74;1.50;0.00;0.00;0.00;0.23;0.30
78.00;-1.60;-0.95;1.68;0.95;0.00;0.00;0.00;0.10;0.30
79.00;-2.40;-1.17;2.53;1.17;0.00;0.00;0.00;0.13;0.30
80.00;-2.00;-1.16;2.11;1.16;0.00;0.00;0.00;0.12;0.30
81.00;-1.20;-1.18;1.26;1.18;0.00;0.00;0.00;0.11;0.30
82.00;-1.20;-1.17;1.26;1.17;0.00;0.00;0.00;0.11;0.30
83.00;-2.40;-1.10;2.53;1.10;0.00;0.00;0.00;0.13;0.30
84.00;-2.00;-1.10;2.11;1.10;0.00;0.00;0.00;0.12;0.30
85.00;-0.80;-1.23;0.84;1.23;0.00;0.00;0.00;0.11;0.30
86.00;-2.80;-1.18;2.95;1.18;0.00;0.00;0.00;0.14;0.30
87.00;-2.40;-1.19;2.53;1.19;0.00;0.00;0.00;0.13;0.30
88.00;-1.60;-1.27;1.68;1.27;0.00;0.00;0.00;0.12;0.30
89.00;-0.80;-1.25;0.84;1.25;0.00;0.00;0.00;0.11;0.30
90.00;-2.80;-1.20;2.95;1.20;0.00;0.00;0.00;0.14;0.30
91.00;-2.40;-1.05;2.53;1.05;0.00;0.00;0.00;0.12;0.30
92.00;-2.00;-1.02;2.11;1.02;0.00;0.00;0.00;0.11;0.30
93.00;-0.80;-1.14;0.84;1.14;0.00;0.00;0.00;0.08;0.24
94.00;-3.20;-0.83;3.37;0.83;0.00;0.00;0.00;0.09;0.18
95.00;-2.40;-0.93;2.53;0.93;0.00;0.00;0.00;0.07;0.11
