timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
541.00;-11.55;-5.84;18.11;1.20;0.00;14.63;10.00;0.00;2.28;5.59;-0.05;0.25;11.55;11.55;5.84;18.11;1.17;0.00;13.17;25.00;0.00;-2.28
542.00;-23.82;-8.51;16.12;6.91;0.00;1.97;7.61;0.00;0.00;8.88;0.10;0.25;23.82;23.82;8.51;16.12;6.78;0.00;1.77;19.01;0.00;-0.00
543.00;-27.12;-8.33;26.43;5.51;0.00;3.28;10.00;0.00;8.11;9.33;-0.17;0.25;27.12;27.12;8.33;26.43;5.40;0.00;2.95;25.00;0.00;-8.11
544.00;-17.27;-6.04;21.35;3.98;0.00;11.64;10.00;0.00;5.31;10.06;-0.11;0.25;17.27;17.27;6.04;21.35;3.90;0.00;10.47;25.00;0.00;-5.31
545.00;-12.23;-7.16;12.88;4.90;0.00;6.87;5.72;0.00;0.00;12.68;0.07;0.25;12.23;12.23;7.16;12.88;4.80;0.00;6.19;14.31;0.00;-0.00
546.00;-12.78;-7.29;7.79;14.91;0.00;3.06;0.49;0.00;0.00;14.23;0.22;0.25;12.78;12.78;7.29;7.79;14.61;0.00;2.76;1.23;0.00;-0.00
547.00;-12.77;-5.29;5.99;16.96;0.00;5.59;0.70;0.00;0.00;14.92;0.25;0.25;12.77;12.77;5.29;5.99;16.62;0.00;5.03;1.74;0.00;-0.00
548.00;-11.18;-5.02;4.22;17.39;0.00;5.86;0.00;0.80;0.00;16.18;0.31;0.25;11.18;11.18;5.02;4.22;17.05;0.00;5.28;0.00;0.80;-0.00
549.00;-18.62;-5.25;2.71;19.51;0.00;0.50;0.00;2.54;0.00;17.50;0.45;0.25;18.62;18.62;5.25;2.71;19.12;0.00;0.45;0.00;2.54;-0.00
550.00;-27.14;-5.67;0.84;20.00;7.54;0.00;0.00;4.83;0.00;17.61;0.60;0.25;27.14;27.14;5.67;0.84;19.60;6.79;0.00;0.00;4.83;-0.00
551.00;-19.91;-6.05;1.91;20.00;0.31;0.00;0.00;4.14;0.00;15.51;0.55;0.25;19.91;19.91;6.05;1.91;19.60;0.28;0.00;0.00;4.14;-0.00
552.00;-15.12;-6.77;1.93;19.32;0.00;3.82;0.00;4.84;0.00;15.43;0.59;0.25;15.12;15.12;6.77;1.93;18.94;0.00;3.44;0.00;4.84;-0.00
553.00;-14.23;-5.83;2.20;19.28;0.00;4.66;0.00;3.64;0.00;16.29;0.51;0.25;14.23;14.23;5.83;2.20;18.90;0.00;4.20;0.00;3.64;-0.00
554.00;-19.32;-6.14;2.78;19.86;0.00;0.14;0.00;3.37;0.00;17.33;0.50;0.25;19.32;19.32;6.14;2.78;19.47;0.00;0.13;0.00;3.37;-0.00
555.00;-29.87;-8.75;2.73;20.00;10.27;0.00;0.00;6.02;0.00;17.37;0.67;0.25;29.87;29.87;8.75;2.73;19.60;9.24;0.00;0.00;6.02;-0.00
556.00;-24.60;-9.99;1.66;20.00;5.00;0.00;0.00;8.33;0.00;14.51;0.82;0.25;24.60;24.60;9.99;1.66;19.60;4.50;0.00;0.00;8.33;-0.00
557.00;-22.77;-11.26;1.39;20.00;3.17;0.00;0.00;9.87;0.00;13.12;0.91;0.25;22.77;22.77;11.26;1.39;19.60;2.86;0.00;0.00;9.87;-0.00
558.00;-20.10;-9.65;1.50;20.00;0.50;0.00;0.00;8.15;0.00;12.24;0.80;0.25;20.10;20.10;9.65;1.50;19.60;0.45;0.00;0.00;8.15;-0.00
559.00;-13.96;-7.40;1.22;19.48;0.00;5.13;0.00;6.18;0.00;12.10;0.67;0.25;13.96;13.96;7.40;1.22;19.09;0.00;4.62;0.00;6.18;-0.00
560.00;-24.67;-7.44;0.92;20.00;5.07;0.00;0.00;6.52;0.00;13.26;0.70;0.25;24.67;24.67;7.44;0.92;19.60;4.57;0.00;0.00;6.52;-0.00
561.00;-28.28;-8.41;0.73;20.00;8.68;0.00;0.00;7.68;0.00;11.85;0.78;0.25;28.28;28.28;8.41;0.73;19.60;7.81;0.00;0.00;7.68;-0.00
562.00;-20.65;-7.75;0.46;20.00;1.05;0.00;0.00;7.29;0.00;9.44;0.75;0.25;20.65;20.65;7.75;0.46;19.60;0.95;0.00;0.00;7.29;-0.00
563.00;-26.28;-8.05;0.20;20.00;6.68;0.00;0.00;7.85;0.00;9.15;0.79;0.25;26.28;26.28;8.05;0.20;19.60;6.01;0.00;0.00;7.85;-0.00
