timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
0.00;-11.21;-2.20;0.00;1.96;0.00;15.41;0.00;2.11;20.00;0.20;0.25;11.21;11.21;2.20;0.00;1.77;0.00;9.24;0.00;-2.11
1.00;-12.19;-2.22;0.00;2.25;0.00;16.57;0.00;2.42;19.45;0.21;0.25;12.19;12.19;2.22;0.00;2.02;0.00;9.94;0.00;-2.42
2.00;-8.89;-2.38;0.00;1.09;0.00;13.01;0.00;1.27;18.83;0.18;0.25;8.89;8.89;2.38;0.00;0.98;0.00;7.80;0.00;-1.27
3.00;-8.07;-2.67;0.00;0.69;0.00;12.30;0.00;0.77;18.53;0.19;0.25;8.07;8.07;2.67;0.00;0.62;0.00;7.38;0.00;-0.77
4.00;-12.35;-2.82;0.00;1.64;0.00;17.85;0.00;2.18;18.34;0.24;0.25;12.35;12.35;2.82;0.00;1.48;0.00;10.71;0.00;-2.18
5.00;-14.92;-2.76;0.00;1.97;0.00;21.58;0.00;3.29;17.88;0.27;0.25;14.92;14.92;2.76;0.00;1.78;0.00;12.95;0.00;-3.29
6.00;-11.45;-2.54;0.00;1.33;0.00;16.85;0.00;2.18;17.33;0.22;0.25;11.45;11.45;2.54;0.00;1.20;0.00;10.11;0.00;-2.18
7.00;-7.82;-2.40;0.00;0.74;0.00;11.79;0.00;0.90;16.96;0.17;0.25;7.82;7.82;2.40;0.00;0.67;0.00;7.08;0.00;-0.90
8.00;-9.78;-2.37;0.00;1.08;0.00;14.50;0.00;1.69;16.76;0.20;0.25;9.78;9.78;2.37;0.00;0.97;0.00;8.70;0.00;-1.69
9.00;-13.53;-2.39;0.00;1.52;0.00;20.01;0.00;3.21;16.46;0.24;0.25;13.53;13.53;2.39;0.00;1.37;0.00;12.01;0.00;-3.21
10.00;-11.61;-2.25;0.00;1.29;0.00;17.21;0.00;2.57;16.03;0.21;0.25;11.61;11.61;2.25;0.00;1.16;0.00;10.33;0.00;-2.57
11.00;-8.36;-2.07;0.00;0.88;0.00;12.47;0.00;1.43;15.68;0.17;0.25;8.36;8.36;2.07;0.00;0.79;0.00;7.48;0.00;-1.43
12.00;-9.78;-2.07;0.00;1.05;0.00;14.54;0.00;2.01;15.43;0.19;0.25;9.78;9.78;2.07;0.00;0.95;0.00;8.72;0.00;-2.01
13.00;-15.46;-2.23;0.00;1.62;0.00;23.07;0.00;4.22;15.14;0.26;0.25;15.46;15.46;2.23;0.00;1.46;0.00;13.84;0.00;-4.22
14.00;-13.84;-2.28;0.00;1.53;0.00;20.52;0.00;3.46;14.69;0.24;0.25;13.84;13.84;2.28;0.00;1.38;0.00;12.31;0.00;-3.46
15.00;-10.09;-2.16;0.00;1.12;0.00;14.95;0.00;2.03;14.26;0.19;0.25;10.09;10.09;2.16;0.00;1.01;0.00;8.97;0.00;-2.03
16.00;-10.05;-2.10;0.00;1.11;0.00;14.91;0.00;2.08;13.95;0.19;0.25;10.05;10.05;2.10;0.00;1.00;0.00;8.95;0.00;-2.08
17.00;-10.52;-2.09;0.00;1.12;0.00;15.66;0.00;2.30;13.65;0.20;0.25;10.52;10.52;2.09;0.00;1.01;0.00;9.40;0.00;-2.30
18.00;-9.70;-2.11;0.00;1.10;0.00;14.34;0.00;1.91;13.33;0.19;0.25;9.70;9.70;2.11;0.00;0.99;0.00;8.61;0.00;-1.91
19.00;-11.82;-2.13;0.00;1.30;0.00;17.55;0.00;2.78;13.03;0.21;0.25;11.82;11.82;2.13;0.00;1.17;0.00;10.53;0.00;-2.78
20.00;-15.52;-2.10;0.00;1.55;0.00;23.29;0.00;4.42;12.67;0.26;0.25;15.52;15.52;2.10;0.00;1.39;0.00;13.97;0.00;-4.42
21.00;-13.98;-2.14;0.00;1.43;0.00;20.92;0.00;3.72;12.24;0.24;0.25;13.98;13.98;2.14;0.00;1.28;0.00;12.55;0.00;-3.72
22.00;-13.56;-2.22;0.00;1.43;0.00;20.22;0.00;3.44;11.84;0.24;0.25;13.56;13.56;2.22;0.00;1.28;0.00;12.13;0.00;-3.44
23.00;-10.40;-2.25;0.00;1.10;0.00;15.51;0.00;2.09;11.45;0.20;0.25;10.40;10.40;2.25;0.00;0.99;0.00;9.31;0.00;-2.09
24.00;-8.66;-2.37;0.02;0.78;0.00;13.09;0.00;1.29;11.14;0.18;0.25;8.66;8.66;2.37;0.02;0.70;0.00;7.86;0.00;-1.29
25.00;-12.41;-2.73;0.11;1.20;0.00;18.51;0.00;2.45;10.92;0.24;0.25;12.41;12.41;2.73;0.11;1.08;0.00;11.11;0.00;-2.45
26.00;-16.10;-2.99;0.24;1.44;0.00;24.05;0.00;3.74;10.59;0.29;0.25;16.10;16.10;2.99;0.24;1.29;0.00;14.43;0.00;-3.74
27.00;-16.15;-3.21;0.37;1.18;0.00;24.33;0.00;3.60;10.19;0.30;0.25;16.15;16.15;3.21;0.37;1.07;0.00;14.60;0.00;-3.60
28.00;-19.64;-3.63;0.51;1.36;0.00;29.61;0.00;4.66;9.86;0.36;0.25;19.64;19.64;3.63;0.51;1.23;0.00;17.76;0.00;-4.66
29.00;-19.02;-3.56;0.69;1.36;0.00;28.28;0.00;4.36;9.48;0.35;0.25;19.02;19.02;3.56;0.69;1.22;0.00;16.97;0.00;-4.36
30.00;-9.98;-3.19;1.09;0.54;0.00;13.90;0.00;0.71;9.11;0.22;0.25;9.98;9.98;3.19;1.09;0.49;0.00;8.34;0.00;-0.71
31.00;-15.33;-2.91;1.18;1.27;0.00;21.46;0.00;3.10;8.96;0.27;0.25;15.33;15.33;2.91;1.18;1.14;0.00;12.88;0.00;-3.10
32.00;-18.71;-2.81;1.21;1.64;0.00;26.43;0.00;4.59;8.61;0.31;0.25;18.71;18.71;2.81;1.21;1.47;0.00;15.86;0.00;-4.59
33.00;-14.28;-3.08;1.01;1.26;0.00;20.02;0.00;2.53;8.15;0.26;0.25;14.28;14.28;3.08;1.01;1.14;0.00;12.01;0.00;-2.53
34.00;-15.28;-3.49;0.90;1.27;0.00;21.85;0.00;2.62;7.80;0.29;0.25;15.28;15.28;3.49;0.90;1.14;0.00;13.11;0.00;-2.62
35.00;-15.05;-3.66;0.73;1.29;0.00;21.71;0.00;2.42;7.45;0.30;0.25;15.05;15.05;3.66;0.73;1.16;0.00;13.03;0.00;-2.42
36.00;-11.13;-3.78;0.78;0.62;0.00;16.22;0.00;0.77;7.09;0.25;0.25;11.13;11.13;3.78;0.78;0.56;0.00;9.73;0.00;-0.77
37.00;-7.89;-3.67;1.00;0.00;0.98;13.12;0.00;0.00;6.91;0.22;0.25;7.89;7.89;3.67;1.00;0.00;0.88;7.87;0.00;-0.00
38.00;-12.49;-3.47;1.27;1.00;0.00;17.04;0.00;1.31;7.14;0.25;0.25;12.49;12.49;3.47;1.27;0.90;0.00;10.22;0.00;-1.31
39.00;-14.59;-3.67;1.40;1.42;0.00;19.62;0.00;1.82;6.86;0.28;0.25;14.59;14.59;3.67;1.40;1.28;0.00;11.77;0.00;-1.82
40.00;-8.66;-3.55;1.37;0.00;0.32;12.68;0.00;0.00;6.46;0.22;0.25;8.66;8.66;3.55;1.37;0.00;0.29;7.61;0.00;-0.00
41.00;-12.06;-3.64;1.44;0.91;0.00;16.17;0.00;0.88;6.54;0.25;0.25;12.06;12.06;3.64;1.44;0.82;0.00;9.70;0.00;-0.88
42.00;-15.83;-3.17;1.18;2.29;0.00;20.61;0.00;2.60;6.28;0.27;0.25;15.83;15.83;3.17;1.18;2.06;0.00;12.36;0.00;-2.60
43.00;-14.42;-2.72;1.23;2.31;0.00;18.13;0.00;2.36;5.65;0.24;0.25;14.42;14.42;2.72;1.23;2.08;0.00;10.88;0.00;-2.36
44.00;-10.75;-3.25;1.16;0.96;0.00;14.37;0.00;0.78;5.01;0.22;0.25;10.75;10.75;3.25;1.16;0.87;0.00;8.62;0.00;-0.78
45.00;-9.69;-3.93;1.50;0.00;0.23;14.05;0.00;0.00;4.74;0.24;0.25;9.69;9.69;3.93;1.50;0.00;0.21;8.43;0.00;-0.00
46.00;-13.92;-4.58;2.23;0.77;0.00;18.21;0.00;0.52;4.79;0.30;0.25;13.92;13.92;4.58;2.23;0.69;0.00;10.92;0.00;-0.52
47.00;-13.20;-4.00;2.17;1.03;0.00;16.65;0.00;0.66;4.58;0.26;0.25;13.20;13.20;4.00;2.17;0.93;0.00;9.99;0.00;-0.66
48.00;-11.26;-3.31;2.71;0.60;0.00;13.25;0.00;0.40;4.29;0.21;0.25;11.26;11.26;3.31;2.71;0.54;0.00;7.95;0.00;-0.40
49.00;-17.59;-3.28;2.25;4.60;0.00;17.91;0.00;1.74;4.12;0.25;0.25;17.59;17.59;3.28;2.25;4.14;0.00;10.74;0.00;-1.74
50.00;-20.91;-3.71;2.05;7.10;0.00;19.61;0.00;1.78;2.85;0.28;0.25;20.91;20.91;3.71;2.05;6.39;0.00;11.76;0.00;-1.78
51.00;-12.51;-4.29;2.04;0.63;0.00;16.40;0.00;0.30;0.88;0.27;0.25;12.51;12.51;4.29;2.04;0.57;0.00;9.84;0.00;-0.30
52.00;-8.00;-4.51;2.92;0.00;4.58;16.10;0.00;0.00;0.70;0.28;0.25;8.00;8.00;4.51;2.92;0.00;4.12;9.66;0.00;-0.00
53.00;-8.60;-4.19;2.93;0.00;3.32;14.98;0.00;0.00;1.73;0.26;0.25;8.60;8.60;4.19;2.93;0.00;2.99;8.99;0.00;-0.00
54.00;-8.77;-4.25;2.81;0.00;3.16;15.19;0.00;0.00;2.48;0.26;0.25;8.77;8.77;4.25;2.81;0.00;2.84;9.11;0.00;-0.00
55.00;-15.55;-4.73;3.65;0.52;0.00;18.97;0.00;0.58;3.19;0.31;0.25;15.55;15.55;4.73;3.65;0.47;0.00;11.38;0.00;-0.58
56.00;-21.35;-4.34;5.44;1.39;0.00;24.19;0.00;2.43;3.05;0.34;0.25;21.35;21.35;4.34;5.44;1.26;0.00;14.52;0.00;-2.43
57.00;-18.48;-3.56;5.71;0.93;0.00;19.73;0.00;1.96;2.66;0.28;0.25;18.48;18.48;3.56;5.71;0.84;0.00;11.84;0.00;-1.96
