timeStep;demandHeat1;demandHeat2;demandHeat3;demandHeat4;demandHeat5;demandElectricity;OilBoiler1;Connection12_12;Connection12_21;Connection13_13;Connection13_31;Connection14_14;Connection14_41;Connection15_15;Connection15_51;PV2;GasBoiler2;Battery2Discharge;Battery2Charge;Connection23_23;Connection23_32;Connection24_24;Connection24_42;Connection25_25;Connection25_52;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;Connection34_34;Connection34_43;Connection35_35;Connection35_53;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;Connection45_45;Connection45_54;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;Battery2SOC;ThermalStorage3SOC;ThermalStorage4SOC;ThermalStorage5SOC;Cost;positiveDemandHeat1;positiveDemandHeat2;positiveDemandHeat3;positiveDemandHeat4;positiveDemandHeat5;demandHeat;positiveDemandElectricity;plusOilBoiler1;plusConnection12_12;plusConnection12_21;plusConnection13_13;plusConnection13_31;plusConnection14_14;plusConnection14_41;plusConnection15_15;plusConnection15_51;plusPV2;plusGasBoiler2;plusBattery2Discharge;plusBattery2Charge;plusConnection23_23;plusConnection23_32;plusConnection24_24;plusConnection24_42;plusConnection25_25;plusConnection25_52;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusConnection34_34;plusConnection34_43;plusConnection35_35;plusConnection35_53;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusConnection45_45;plusConnection45_54;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
10.00;-0.80;-1.03;-20.06;-3.24;-11.61;-10.32;0.00;0.00;0.40;0.00;0.42;0.00;0.00;0.00;0.00;0.00;10.38;0.27;0.00;0.00;0.00;1.40;0.00;7.34;0.00;0.00;0.00;0.55;0.00;10.00;1.39;0.00;3.67;0.00;0.52;0.00;0.00;0.00;0.00;0.00;0.71;0.00;0.00;20.06;0.00;0.49;1.43;1.24;1.57;0.40;0.80;1.03;20.06;3.24;11.61;36.75;10.32;0.00;0.00;0.39;0.00;0.41;0.00;0.00;0.00;0.00;0.00;10.17;0.26;0.00;0.00;0.00;1.37;0.00;7.30;0.00;0.00;0.00;0.49;0.00;25.00;1.35;0.00;3.60;0.00;0.47;0.00;0.00;0.00;0.00;0.00;0.64;0.00;0.00;20.06;-0.00
11.00;-3.20;-1.03;-13.28;-4.83;-8.36;-9.52;0.00;0.00;1.11;0.00;2.18;0.00;0.00;0.00;0.00;0.00;5.29;0.23;0.00;0.00;0.00;1.23;0.00;1.81;0.00;0.00;0.00;0.26;0.00;10.00;3.44;0.00;6.36;0.00;0.30;0.00;0.00;0.00;0.00;0.00;0.32;0.00;0.00;19.29;0.00;0.42;1.28;1.10;1.37;0.32;3.20;1.03;13.28;4.83;8.36;30.71;9.52;0.00;0.00;1.09;0.00;2.11;0.00;0.00;0.00;0.00;0.00;5.18;0.22;0.00;0.00;0.00;1.21;0.00;1.79;0.00;0.00;0.00;0.24;0.00;25.00;3.33;0.00;6.24;0.00;0.27;0.00;0.00;0.00;0.00;0.00;0.29;0.00;0.00;19.29;-0.00
12.00;-3.20;-0.77;-14.98;-6.86;-9.78;-9.45;0.00;0.00;1.61;0.00;1.67;0.00;0.00;0.00;0.00;0.00;10.41;0.21;0.00;0.00;0.00;3.02;0.00;4.80;0.00;0.00;0.00;0.23;0.00;10.00;3.77;0.00;4.81;0.00;0.26;0.00;0.00;0.00;0.00;0.00;0.28;0.00;0.00;19.24;0.00;0.36;1.20;1.02;1.28;0.39;3.20;0.77;14.98;6.86;9.78;35.58;9.45;0.00;0.00;1.58;0.00;1.62;0.00;0.00;0.00;0.00;0.00;10.20;0.21;0.00;0.00;0.00;2.95;0.00;4.77;0.00;0.00;0.00;0.21;0.00;25.00;3.64;0.00;4.73;0.00;0.24;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;19.24;-0.00
13.00;-3.20;-1.03;-25.47;-6.99;-15.46;-10.19;0.00;0.00;2.54;0.00;0.73;0.00;0.00;0.00;0.00;0.00;19.89;0.17;0.00;0.00;0.00;4.25;0.00;11.67;0.00;0.00;0.00;2.94;0.00;10.00;0.82;0.00;0.91;0.00;2.04;0.00;0.00;0.00;0.00;0.00;2.96;0.00;0.00;20.02;0.00;0.31;1.14;0.94;1.20;0.54;3.20;1.03;25.47;6.99;15.46;52.15;10.19;0.00;0.00;2.49;0.00;0.71;0.00;0.00;0.00;0.00;0.00;19.49;0.16;0.00;0.00;0.00;4.16;0.00;11.60;0.00;0.00;0.00;2.64;0.00;25.00;0.79;0.00;0.90;0.00;1.83;0.00;0.00;0.00;0.00;0.00;2.66;0.00;0.00;20.02;-0.00
14.00;-0.80;-1.03;-23.38;-5.01;-13.84;-10.30;0.00;0.00;0.49;0.00;0.33;0.00;0.00;0.00;0.00;0.00;19.05;0.15;0.00;0.00;0.00;4.22;0.00;12.93;0.00;0.00;0.00;0.20;0.00;10.00;0.70;0.00;0.80;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.00;20.15;0.00;0.26;0.32;0.38;0.38;0.53;0.80;1.03;23.38;5.01;13.84;44.05;10.30;0.00;0.00;0.48;0.00;0.32;0.00;0.00;0.00;0.00;0.00;18.67;0.15;0.00;0.00;0.00;4.13;0.00;12.85;0.00;0.00;0.00;0.18;0.00;25.00;0.67;0.00;0.78;0.00;0.18;0.00;0.00;0.00;0.00;0.00;0.18;0.00;0.00;20.15;-0.00
15.00;-3.60;-1.29;-17.07;-3.59;-10.09;-9.85;0.00;0.00;1.93;0.00;1.76;0.00;0.00;0.00;0.00;0.00;10.74;0.13;0.00;0.00;0.00;1.71;0.00;5.59;0.00;0.00;0.00;0.13;0.00;10.00;1.83;0.00;4.46;0.00;0.15;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.00;19.72;0.00;0.22;0.27;0.32;0.32;0.41;3.60;1.29;17.07;3.59;10.09;35.64;9.85;0.00;0.00;1.90;0.00;1.70;0.00;0.00;0.00;0.00;0.00;10.52;0.13;0.00;0.00;0.00;1.67;0.00;5.56;0.00;0.00;0.00;0.11;0.00;25.00;1.77;0.00;4.38;0.00;0.13;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.00;19.72;-0.00
16.00;-3.60;-0.26;-16.11;-5.51;-10.05;-9.60;0.00;0.00;1.87;0.00;1.82;0.00;0.00;0.00;0.00;0.00;10.74;0.11;0.00;0.00;0.00;2.73;0.00;5.66;0.00;0.00;0.00;0.11;0.00;10.00;2.80;0.00;4.38;0.00;0.13;0.00;0.00;0.00;0.00;0.00;0.13;0.00;0.00;19.49;0.00;0.19;0.23;0.28;0.28;0.40;3.60;0.26;16.11;5.51;10.05;35.54;9.60;0.00;0.00;1.84;0.00;1.76;0.00;0.00;0.00;0.00;0.00;10.52;0.11;0.00;0.00;0.00;2.67;0.00;5.62;0.00;0.00;0.00;0.10;0.00;25.00;2.71;0.00;4.30;0.00;0.12;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.00;19.49;-0.00
17.00;-3.20;-1.55;-16.32;-6.95;-10.52;-9.67;0.00;0.00;1.72;0.00;1.55;0.00;0.00;0.00;0.00;0.00;14.21;0.10;0.00;0.00;0.00;4.02;0.00;6.64;0.00;0.00;0.00;0.00;0.00;10.00;3.13;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.56;0.00;0.16;0.20;0.24;0.24;0.45;3.20;1.55;16.32;6.95;10.52;38.54;9.67;0.00;0.00;1.69;0.00;1.51;0.00;0.00;0.00;0.00;0.00;13.92;0.10;0.00;0.00;0.00;3.93;0.00;6.60;0.00;0.00;0.00;0.00;0.00;25.00;3.02;0.00;3.93;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.56;-0.00
18.00;-0.80;-1.55;-14.72;-7.10;-9.70;-9.74;0.00;0.00;0.38;0.00;0.44;0.00;0.00;0.00;0.00;0.00;9.42;0.08;0.00;0.00;0.00;2.62;0.00;4.69;0.00;0.00;0.00;0.00;0.00;10.00;4.70;0.00;5.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.66;0.00;0.14;0.20;0.24;0.24;0.38;0.80;1.55;14.72;7.10;9.70;33.87;9.74;0.00;0.00;0.38;0.00;0.42;0.00;0.00;0.00;0.00;0.00;9.23;0.08;0.00;0.00;0.00;2.56;0.00;4.66;0.00;0.00;0.00;0.00;0.00;25.00;4.54;0.00;5.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.66;-0.00
19.00;-2.80;-1.03;-17.87;-8.80;-11.82;-9.86;0.00;0.00;1.59;0.00;1.28;0.00;0.00;0.00;0.00;0.00;18.10;0.07;0.00;0.00;0.00;6.23;0.00;8.88;0.00;0.00;0.00;0.00;0.00;10.00;2.80;0.00;3.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.79;0.00;0.12;0.20;0.24;0.24;0.51;2.80;1.03;17.87;8.80;11.82;42.33;9.86;0.00;0.00;1.56;0.00;1.24;0.00;0.00;0.00;0.00;0.00;17.74;0.07;0.00;0.00;0.00;6.09;0.00;8.83;0.00;0.00;0.00;0.00;0.00;25.00;2.70;0.00;2.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.79;-0.00
