timeStep;demandHeat;demandElectricity;OilBoiler1;ElecBuy;ElecSell;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusOilBoiler1;plusElecBuy;plusElecSell
52.00;-3.60;-0.34;3.79;0.34;0.00;0.09;0.30;3.60;3.60;0.34;3.60;0.34;-0.00
53.00;-3.20;-0.39;3.37;0.39;0.00;0.09;0.30;3.20;3.20;0.39;3.20;0.39;-0.00
54.00;-1.60;-0.35;1.68;0.35;0.00;0.05;0.30;1.60;1.60;0.35;1.60;0.35;-0.00
55.00;-0.40;-0.35;0.42;0.35;0.00;0.03;0.30;0.40;0.40;0.35;0.40;0.35;-0.00
56.00;-1.60;-0.46;1.68;0.46;0.00;0.06;0.30;1.60;1.60;0.46;1.60;0.46;-0.00
57.00;-1.20;-0.54;1.26;0.54;0.00;0.06;0.30;1.20;1.20;0.54;1.20;0.54;-0.00
58.00;-0.80;-0.52;0.84;0.52;0.00;0.05;0.30;0.80;0.80;0.52;0.80;0.52;-0.00
59.00;-2.00;-0.41;2.11;0.41;0.00;0.07;0.30;2.00;2.00;0.41;2.00;0.41;-0.00
60.00;-2.00;-0.42;2.11;0.42;0.00;0.07;0.30;2.00;2.00;0.42;2.00;0.42;-0.00
61.00;-1.20;-0.24;1.26;0.24;0.00;0.04;0.30;1.20;1.20;0.24;1.20;0.24;-0.00
62.00;-1.20;-0.27;1.26;0.27;0.00;0.04;0.30;1.20;1.20;0.27;1.20;0.27;-0.00
63.00;-2.00;-0.33;2.11;0.33;0.00;0.06;0.30;2.00;2.00;0.33;2.00;0.33;-0.00
64.00;-1.60;-0.60;1.68;0.60;0.00;0.07;0.30;1.60;1.60;0.60;1.60;0.60;-0.00
65.00;-1.60;-0.36;1.68;0.36;0.00;0.06;0.30;1.60;1.60;0.36;1.60;0.36;-0.00
66.00;-0.80;-0.50;0.84;0.50;0.00;0.05;0.30;0.80;0.80;0.50;0.80;0.50;-0.00
67.00;-2.00;-0.37;2.11;0.37;0.00;0.06;0.30;2.00;2.00;0.37;2.00;0.37;-0.00
68.00;-2.00;-0.28;2.11;0.28;0.00;0.06;0.30;2.00;2.00;0.28;2.00;0.28;-0.00
69.00;-1.60;-0.41;1.68;0.41;0.00;0.06;0.30;1.60;1.60;0.41;1.60;0.41;-0.00
70.00;-1.20;-0.44;1.26;0.44;0.00;0.05;0.30;1.20;1.20;0.44;1.20;0.44;-0.00
71.00;-2.00;-0.42;2.11;0.42;0.00;0.07;0.30;2.00;2.00;0.42;2.00;0.42;-0.00
72.00;-2.00;-0.39;2.11;0.39;0.00;0.07;0.30;2.00;2.00;0.39;2.00;0.39;-0.00
73.00;-1.20;-0.39;1.26;0.39;0.00;0.05;0.30;1.20;1.20;0.39;1.20;0.39;-0.00
74.00;-1.20;-0.39;1.26;0.39;0.00;0.05;0.30;1.20;1.20;0.39;1.20;0.39;-0.00
75.00;-2.00;-0.46;2.11;0.46;0.00;0.07;0.30;2.00;2.00;0.46;2.00;0.46;-0.00
76.00;-2.00;-2.72;2.11;2.72;0.00;0.24;0.30;2.00;2.00;2.72;2.00;2.72;-0.00
77.00;-6.40;-1.50;6.74;1.50;0.00;0.23;0.30;6.40;6.40;1.50;6.40;1.50;-0.00
78.00;-1.60;-0.95;1.68;0.95;0.00;0.10;0.30;1.60;1.60;0.95;1.60;0.95;-0.00
79.00;-2.40;-1.17;2.53;1.17;0.00;0.13;0.30;2.40;2.40;1.17;2.40;1.17;-0.00
80.00;-2.00;-1.16;2.11;1.16;0.00;0.12;0.30;2.00;2.00;1.16;2.00;1.16;-0.00
81.00;-1.20;-1.18;1.26;1.18;0.00;0.11;0.30;1.20;1.20;1.18;1.20;1.18;-0.00
82.00;-1.20;-1.17;1.26;1.17;0.00;0.11;0.30;1.20;1.20;1.17;1.20;1.17;-0.00
83.00;-2.40;-1.10;2.53;1.10;0.00;0.13;0.30;2.40;2.40;1.10;2.40;1.10;-0.00
84.00;-2.00;-1.10;2.11;1.10;0.00;0.12;0.30;2.00;2.00;1.10;2.00;1.10;-0.00
85.00;-0.80;-1.23;0.84;1.23;0.00;0.11;0.30;0.80;0.80;1.23;0.80;1.23;-0.00
86.00;-2.80;-1.18;2.95;1.18;0.00;0.14;0.30;2.80;2.80;1.18;2.80;1.18;-0.00
87.00;-2.40;-1.19;2.53;1.19;0.00;0.13;0.30;2.40;2.40;1.19;2.40;1.19;-0.00
88.00;-1.60;-1.27;1.68;1.27;0.00;0.12;0.30;1.60;1.60;1.27;1.60;1.27;-0.00
89.00;-0.80;-1.25;0.84;1.25;0.00;0.11;0.30;0.80;0.80;1.25;0.80;1.25;-0.00
90.00;-2.80;-1.20;2.95;1.20;0.00;0.14;0.30;2.80;2.80;1.20;2.80;1.20;-0.00
91.00;-2.40;-1.05;2.53;1.05;0.00;0.12;0.30;2.40;2.40;1.05;2.40;1.05;-0.00
92.00;-2.00;-1.02;2.11;1.02;0.00;0.11;0.30;2.00;2.00;1.02;2.00;1.02;-0.00
93.00;-0.80;-1.14;0.84;1.14;0.00;0.08;0.24;0.80;0.80;1.14;0.80;1.14;-0.00
94.00;-3.20;-0.83;3.37;0.83;0.00;0.09;0.18;3.20;3.20;0.83;3.20;0.83;-0.00
95.00;-2.40;-0.93;2.53;0.93;0.00;0.07;0.11;2.40;2.40;0.93;2.40;0.93;-0.00
96.00;-2.80;-0.20;2.95;0.20;0.00;0.05;0.05;2.80;2.80;0.20;2.80;0.20;-0.00
97.00;-2.00;-0.28;2.11;0.28;0.00;0.04;0.05;2.00;2.00;0.28;2.00;0.28;-0.00
98.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
99.00;-3.60;-0.32;3.79;0.32;0.00;0.07;0.05;3.60;3.60;0.32;3.60;0.32;-0.00
100.00;-3.20;-0.26;3.37;0.26;0.00;0.06;0.05;3.20;3.20;0.26;3.20;0.26;-0.00
101.00;-2.00;-0.19;2.11;0.19;0.00;0.04;0.05;2.00;2.00;0.19;2.00;0.19;-0.00
102.00;-0.80;-0.19;0.84;0.19;0.00;0.02;0.05;0.80;0.80;0.19;0.80;0.19;-0.00
103.00;-3.60;-0.21;3.79;0.21;0.00;0.07;0.05;3.60;3.60;0.21;3.60;0.21;-0.00
104.00;-2.80;-0.21;2.95;0.21;0.00;0.05;0.05;2.80;2.80;0.21;2.80;0.21;-0.00
105.00;-3.20;-0.30;3.37;0.30;0.00;0.06;0.05;3.20;3.20;0.30;3.20;0.30;-0.00
106.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
107.00;-3.20;-0.32;3.37;0.32;0.00;0.06;0.05;3.20;3.20;0.32;3.20;0.32;-0.00
108.00;-3.20;-0.24;3.37;0.24;0.00;0.06;0.05;3.20;3.20;0.24;3.20;0.24;-0.00
109.00;-3.20;-0.27;3.37;0.27;0.00;0.06;0.05;3.20;3.20;0.27;3.20;0.27;-0.00
110.00;-0.80;-0.21;0.84;0.21;0.00;0.02;0.05;0.80;0.80;0.21;0.80;0.21;-0.00
111.00;-3.60;-0.22;3.79;0.22;0.00;0.07;0.05;3.60;3.60;0.22;3.60;0.22;-0.00
112.00;-3.60;-0.21;3.79;0.21;0.00;0.07;0.05;3.60;3.60;0.21;3.60;0.21;-0.00
113.00;-3.20;-0.31;3.37;0.31;0.00;0.06;0.05;3.20;3.20;0.31;3.20;0.31;-0.00
114.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
115.00;-2.80;-0.32;2.95;0.32;0.00;0.05;0.05;2.80;2.80;0.32;2.80;0.32;-0.00
116.00;-3.20;-0.23;3.37;0.23;0.00;0.06;0.05;3.20;3.20;0.23;3.20;0.23;-0.00
117.00;-2.80;-0.20;2.95;0.20;0.00;0.05;0.05;2.80;2.80;0.20;2.80;0.20;-0.00
118.00;-0.80;-0.94;0.84;0.94;0.00;0.03;0.05;0.80;0.80;0.94;0.80;0.94;-0.00
119.00;-4.00;-0.37;4.21;0.37;0.00;0.08;0.05;4.00;4.00;0.37;4.00;0.37;-0.00
120.00;-5.20;-0.38;5.47;0.38;0.00;0.10;0.05;5.20;5.20;0.38;5.20;0.38;-0.00
121.00;-3.60;-0.86;3.79;0.86;0.00;0.08;0.05;3.60;3.60;0.86;3.60;0.86;-0.00
122.00;-0.80;-0.71;0.84;0.71;0.00;0.02;0.05;0.80;0.80;0.71;0.80;0.71;-0.00
123.00;-3.60;-0.33;3.79;0.33;0.00;0.07;0.05;3.60;3.60;0.33;3.60;0.33;-0.00
124.00;-3.60;-0.30;3.79;0.30;0.00;0.07;0.05;3.60;3.60;0.30;3.60;0.30;-0.00
125.00;-5.60;-0.31;5.89;0.31;0.00;0.10;0.05;5.60;5.60;0.31;5.60;0.31;-0.00
126.00;-0.80;-0.36;0.84;0.36;0.00;0.02;0.05;0.80;0.80;0.36;0.80;0.36;-0.00
127.00;-2.00;-0.29;2.11;0.29;0.00;0.04;0.05;2.00;2.00;0.29;2.00;0.29;-0.00
128.00;-2.00;-0.43;2.11;0.43;0.00;0.04;0.05;2.00;2.00;0.43;2.00;0.43;-0.00
129.00;-1.60;-0.94;1.68;0.94;0.00;0.04;0.05;1.60;1.60;0.94;1.60;0.94;-0.00
130.00;-0.80;-0.33;0.84;0.33;0.00;0.02;0.05;0.80;0.80;0.33;0.80;0.33;-0.00
131.00;-2.40;-0.31;2.53;0.31;0.00;0.05;0.05;2.40;2.40;0.31;2.40;0.31;-0.00
132.00;-2.80;-0.30;2.95;0.30;0.00;0.05;0.05;2.80;2.80;0.30;2.80;0.30;-0.00
133.00;-1.60;-0.29;1.68;0.29;0.00;0.03;0.05;1.60;1.60;0.29;1.60;0.29;-0.00
134.00;-0.80;-0.27;0.84;0.27;0.00;0.02;0.05;0.80;0.80;0.27;0.80;0.27;-0.00
135.00;-2.00;-0.82;2.11;0.82;0.00;0.05;0.05;2.00;2.00;0.82;2.00;0.82;-0.00
136.00;-2.40;-0.42;2.53;0.42;0.00;0.05;0.05;2.40;2.40;0.42;2.40;0.42;-0.00
137.00;-2.00;-1.34;2.11;1.34;0.00;0.05;0.05;2.00;2.00;1.34;2.00;1.34;-0.00
138.00;-0.80;-1.47;0.84;1.47;0.00;0.03;0.05;0.80;0.80;1.47;0.80;1.47;-0.00
139.00;-2.40;-0.34;2.53;0.34;0.00;0.05;0.05;2.40;2.40;0.34;2.40;0.34;-0.00
140.00;-5.20;-0.44;5.47;0.44;0.00;0.10;0.05;5.20;5.20;0.44;5.20;0.44;-0.00
141.00;-0.40;-0.33;0.42;0.33;0.00;0.02;0.11;0.40;0.40;0.33;0.40;0.33;-0.00
142.00;-2.00;-0.29;2.11;0.29;0.00;0.05;0.18;2.00;2.00;0.29;2.00;0.29;-0.00
143.00;-3.20;-1.47;3.37;1.47;0.00;0.14;0.24;3.20;3.20;1.47;3.20;1.47;-0.00
144.00;0.00;-2.04;0.00;2.04;0.00;0.15;0.30;-0.00;0.00;2.04;0.00;2.04;-0.00
145.00;-2.80;-0.94;2.95;0.94;0.00;0.12;0.30;2.80;2.80;0.94;2.80;0.94;-0.00
146.00;-2.40;-0.33;2.53;0.33;0.00;0.07;0.30;2.40;2.40;0.33;2.40;0.33;-0.00
147.00;-1.60;-0.30;1.68;0.30;0.00;0.05;0.30;1.60;1.60;0.30;1.60;0.30;-0.00
148.00;-3.60;-0.34;3.79;0.34;0.00;0.09;0.30;3.60;3.60;0.34;3.60;0.34;-0.00
149.00;-3.20;-0.39;3.37;0.39;0.00;0.09;0.30;3.20;3.20;0.39;3.20;0.39;-0.00
150.00;-1.60;-0.35;1.68;0.35;0.00;0.05;0.30;1.60;1.60;0.35;1.60;0.35;-0.00
151.00;-0.40;-0.35;0.42;0.35;0.00;0.03;0.30;0.40;0.40;0.35;0.40;0.35;-0.00
152.00;-1.60;-0.46;1.68;0.46;0.00;0.06;0.30;1.60;1.60;0.46;1.60;0.46;-0.00
153.00;-1.20;-0.54;1.26;0.54;0.00;0.06;0.30;1.20;1.20;0.54;1.20;0.54;-0.00
154.00;-0.80;-0.52;0.84;0.52;0.00;0.05;0.30;0.80;0.80;0.52;0.80;0.52;-0.00
155.00;-2.00;-0.41;2.11;0.41;0.00;0.07;0.30;2.00;2.00;0.41;2.00;0.41;-0.00
156.00;-2.00;-0.42;2.11;0.42;0.00;0.07;0.30;2.00;2.00;0.42;2.00;0.42;-0.00
157.00;-1.20;-0.24;1.26;0.24;0.00;0.04;0.30;1.20;1.20;0.24;1.20;0.24;-0.00
158.00;-1.20;-0.27;1.26;0.27;0.00;0.04;0.30;1.20;1.20;0.27;1.20;0.27;-0.00
159.00;-2.00;-0.33;2.11;0.33;0.00;0.06;0.30;2.00;2.00;0.33;2.00;0.33;-0.00
160.00;-1.60;-0.60;1.68;0.60;0.00;0.07;0.30;1.60;1.60;0.60;1.60;0.60;-0.00
161.00;-1.60;-0.36;1.68;0.36;0.00;0.06;0.30;1.60;1.60;0.36;1.60;0.36;-0.00
162.00;-0.80;-0.50;0.84;0.50;0.00;0.05;0.30;0.80;0.80;0.50;0.80;0.50;-0.00
163.00;-2.00;-0.37;2.11;0.37;0.00;0.06;0.30;2.00;2.00;0.37;2.00;0.37;-0.00
164.00;-2.00;-0.28;2.11;0.28;0.00;0.06;0.30;2.00;2.00;0.28;2.00;0.28;-0.00
165.00;-1.60;-0.41;1.68;0.41;0.00;0.06;0.30;1.60;1.60;0.41;1.60;0.41;-0.00
166.00;-1.20;-0.44;1.26;0.44;0.00;0.05;0.30;1.20;1.20;0.44;1.20;0.44;-0.00
167.00;-2.00;-0.42;2.11;0.42;0.00;0.07;0.30;2.00;2.00;0.42;2.00;0.42;-0.00
168.00;-2.00;-0.39;2.11;0.39;0.00;0.07;0.30;2.00;2.00;0.39;2.00;0.39;-0.00
169.00;-1.20;-0.39;1.26;0.39;0.00;0.05;0.30;1.20;1.20;0.39;1.20;0.39;-0.00
170.00;-1.20;-0.39;1.26;0.39;0.00;0.05;0.30;1.20;1.20;0.39;1.20;0.39;-0.00
171.00;-2.00;-0.46;2.11;0.46;0.00;0.07;0.30;2.00;2.00;0.46;2.00;0.46;-0.00
172.00;-2.00;-2.72;2.11;2.72;0.00;0.24;0.30;2.00;2.00;2.72;2.00;2.72;-0.00
173.00;-6.40;-1.50;6.74;1.50;0.00;0.23;0.30;6.40;6.40;1.50;6.40;1.50;-0.00
174.00;-1.60;-0.95;1.68;0.95;0.00;0.10;0.30;1.60;1.60;0.95;1.60;0.95;-0.00
175.00;-2.40;-1.17;2.53;1.17;0.00;0.13;0.30;2.40;2.40;1.17;2.40;1.17;-0.00
176.00;-2.00;-1.16;2.11;1.16;0.00;0.12;0.30;2.00;2.00;1.16;2.00;1.16;-0.00
177.00;-1.20;-1.18;1.26;1.18;0.00;0.11;0.30;1.20;1.20;1.18;1.20;1.18;-0.00
178.00;-1.20;-1.17;1.26;1.17;0.00;0.11;0.30;1.20;1.20;1.17;1.20;1.17;-0.00
179.00;-2.40;-1.10;2.53;1.10;0.00;0.13;0.30;2.40;2.40;1.10;2.40;1.10;-0.00
180.00;-2.00;-1.10;2.11;1.10;0.00;0.12;0.30;2.00;2.00;1.10;2.00;1.10;-0.00
181.00;-0.80;-1.23;0.84;1.23;0.00;0.11;0.30;0.80;0.80;1.23;0.80;1.23;-0.00
182.00;-2.80;-1.18;2.95;1.18;0.00;0.14;0.30;2.80;2.80;1.18;2.80;1.18;-0.00
183.00;-2.40;-1.19;2.53;1.19;0.00;0.13;0.30;2.40;2.40;1.19;2.40;1.19;-0.00
184.00;-1.60;-1.27;1.68;1.27;0.00;0.12;0.30;1.60;1.60;1.27;1.60;1.27;-0.00
185.00;-0.80;-1.25;0.84;1.25;0.00;0.11;0.30;0.80;0.80;1.25;0.80;1.25;-0.00
186.00;-2.80;-1.20;2.95;1.20;0.00;0.14;0.30;2.80;2.80;1.20;2.80;1.20;-0.00
187.00;-2.40;-1.05;2.53;1.05;0.00;0.12;0.30;2.40;2.40;1.05;2.40;1.05;-0.00
188.00;-2.00;-1.02;2.11;1.02;0.00;0.11;0.30;2.00;2.00;1.02;2.00;1.02;-0.00
189.00;-0.80;-1.14;0.84;1.14;0.00;0.08;0.24;0.80;0.80;1.14;0.80;1.14;-0.00
190.00;-3.20;-0.83;3.37;0.83;0.00;0.09;0.18;3.20;3.20;0.83;3.20;0.83;-0.00
191.00;-2.40;-0.93;2.53;0.93;0.00;0.07;0.11;2.40;2.40;0.93;2.40;0.93;-0.00
192.00;-2.80;-0.20;2.95;0.20;0.00;0.05;0.05;2.80;2.80;0.20;2.80;0.20;-0.00
193.00;-2.00;-0.28;2.11;0.28;0.00;0.04;0.05;2.00;2.00;0.28;2.00;0.28;-0.00
194.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
195.00;-3.60;-0.32;3.79;0.32;0.00;0.07;0.05;3.60;3.60;0.32;3.60;0.32;-0.00
196.00;-3.20;-0.26;3.37;0.26;0.00;0.06;0.05;3.20;3.20;0.26;3.20;0.26;-0.00
197.00;-2.00;-0.19;2.11;0.19;0.00;0.04;0.05;2.00;2.00;0.19;2.00;0.19;-0.00
198.00;-0.80;-0.19;0.84;0.19;0.00;0.02;0.05;0.80;0.80;0.19;0.80;0.19;-0.00
199.00;-3.60;-0.21;3.79;0.21;0.00;0.07;0.05;3.60;3.60;0.21;3.60;0.21;-0.00
200.00;-2.80;-0.21;2.95;0.21;0.00;0.05;0.05;2.80;2.80;0.21;2.80;0.21;-0.00
201.00;-3.20;-0.30;3.37;0.30;0.00;0.06;0.05;3.20;3.20;0.30;3.20;0.30;-0.00
202.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
203.00;-3.20;-0.32;3.37;0.32;0.00;0.06;0.05;3.20;3.20;0.32;3.20;0.32;-0.00
204.00;-3.20;-0.24;3.37;0.24;0.00;0.06;0.05;3.20;3.20;0.24;3.20;0.24;-0.00
205.00;-3.20;-0.27;3.37;0.27;0.00;0.06;0.05;3.20;3.20;0.27;3.20;0.27;-0.00
206.00;-0.80;-0.21;0.84;0.21;0.00;0.02;0.05;0.80;0.80;0.21;0.80;0.21;-0.00
207.00;-3.60;-0.22;3.79;0.22;0.00;0.07;0.05;3.60;3.60;0.22;3.60;0.22;-0.00
208.00;-3.60;-0.21;3.79;0.21;0.00;0.07;0.05;3.60;3.60;0.21;3.60;0.21;-0.00
209.00;-3.20;-0.31;3.37;0.31;0.00;0.06;0.05;3.20;3.20;0.31;3.20;0.31;-0.00
210.00;-0.80;-0.29;0.84;0.29;0.00;0.02;0.05;0.80;0.80;0.29;0.80;0.29;-0.00
211.00;-2.80;-0.32;2.95;0.32;0.00;0.05;0.05;2.80;2.80;0.32;2.80;0.32;-0.00
212.00;-3.20;-0.23;3.37;0.23;0.00;0.06;0.05;3.20;3.20;0.23;3.20;0.23;-0.00
213.00;-2.80;-0.20;2.95;0.20;0.00;0.05;0.05;2.80;2.80;0.20;2.80;0.20;-0.00
214.00;-0.80;-0.94;0.84;0.94;0.00;0.03;0.05;0.80;0.80;0.94;0.80;0.94;-0.00
215.00;-4.00;-0.37;4.21;0.37;0.00;0.08;0.05;4.00;4.00;0.37;4.00;0.37;-0.00
216.00;-5.20;-0.38;5.47;0.38;0.00;0.10;0.05;5.20;5.20;0.38;5.20;0.38;-0.00
217.00;-3.60;-0.86;3.79;0.86;0.00;0.08;0.05;3.60;3.60;0.86;3.60;0.86;-0.00
218.00;-0.80;-0.71;0.84;0.71;0.00;0.02;0.05;0.80;0.80;0.71;0.80;0.71;-0.00
219.00;-3.60;-0.33;3.79;0.33;0.00;0.07;0.05;3.60;3.60;0.33;3.60;0.33;-0.00
220.00;-3.60;-0.30;3.79;0.30;0.00;0.07;0.05;3.60;3.60;0.30;3.60;0.30;-0.00
221.00;-5.60;-0.31;5.89;0.31;0.00;0.10;0.05;5.60;5.60;0.31;5.60;0.31;-0.00
222.00;-0.80;-0.36;0.84;0.36;0.00;0.02;0.05;0.80;0.80;0.36;0.80;0.36;-0.00
223.00;-2.00;-0.29;2.11;0.29;0.00;0.04;0.05;2.00;2.00;0.29;2.00;0.29;-0.00
224.00;-2.00;-0.43;2.11;0.43;0.00;0.04;0.05;2.00;2.00;0.43;2.00;0.43;-0.00
225.00;-1.60;-0.94;1.68;0.94;0.00;0.04;0.05;1.60;1.60;0.94;1.60;0.94;-0.00
226.00;-0.80;-0.33;0.84;0.33;0.00;0.02;0.05;0.80;0.80;0.33;0.80;0.33;-0.00
227.00;-2.40;-0.31;2.53;0.31;0.00;0.05;0.05;2.40;2.40;0.31;2.40;0.31;-0.00
228.00;-2.80;-0.30;2.95;0.30;0.00;0.05;0.05;2.80;2.80;0.30;2.80;0.30;-0.00
229.00;-1.60;-0.29;1.68;0.29;0.00;0.03;0.05;1.60;1.60;0.29;1.60;0.29;-0.00
230.00;-0.80;-0.27;0.84;0.27;0.00;0.02;0.05;0.80;0.80;0.27;0.80;0.27;-0.00
231.00;-2.00;-0.82;2.11;0.82;0.00;0.05;0.05;2.00;2.00;0.82;2.00;0.82;-0.00
232.00;-2.40;-0.42;2.53;0.42;0.00;0.05;0.05;2.40;2.40;0.42;2.40;0.42;-0.00
