timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
34.00;-15.28;-3.49;0.90;0.71;0.00;22.79;0.00;2.89;3.19;0.30;0.25;15.28;15.28;3.49;0.90;0.64;0.00;13.67;0.00;-2.89
35.00;-15.05;-3.66;0.73;0.74;0.00;22.64;0.00;2.68;3.00;0.30;0.25;15.05;15.05;3.66;0.73;0.66;0.00;13.59;0.00;-2.68
36.00;-11.13;-3.78;0.78;0.45;0.00;16.50;0.00;0.84;2.79;0.26;0.25;11.13;11.13;3.78;0.78;0.41;0.00;9.90;0.00;-0.84
37.00;-7.89;-3.67;1.00;0.00;0.98;13.12;0.00;0.00;2.67;0.22;0.25;7.89;7.89;3.67;1.00;0.00;0.88;7.87;0.00;-0.00
38.00;-12.49;-3.47;1.27;0.47;0.00;17.93;0.00;1.56;2.89;0.26;0.25;12.49;12.49;3.47;1.27;0.42;0.00;10.76;0.00;-1.56
39.00;-14.59;-3.67;1.40;0.39;0.00;21.33;0.00;2.30;2.76;0.29;0.25;14.59;14.59;3.67;1.40;0.35;0.00;12.80;0.00;-2.30
40.00;-8.66;-3.55;1.37;0.00;0.32;12.68;0.00;0.00;2.65;0.22;0.25;8.66;8.66;3.55;1.37;0.00;0.29;7.61;0.00;-0.00
41.00;-12.06;-3.64;1.44;0.38;0.00;17.05;0.00;1.13;2.72;0.26;0.25;12.06;12.06;3.64;1.44;0.34;0.00;10.23;0.00;-1.13
42.00;-15.83;-3.17;1.18;0.55;0.00;23.49;0.00;3.41;2.62;0.30;0.25;15.83;15.83;3.17;1.18;0.50;0.00;14.10;0.00;-3.41
43.00;-14.42;-2.72;1.23;0.64;0.00;20.91;0.00;3.14;2.46;0.26;0.25;14.42;14.42;2.72;1.23;0.58;0.00;12.54;0.00;-3.14
44.00;-10.75;-3.25;1.16;0.47;0.00;15.19;0.00;1.01;2.28;0.23;0.25;10.75;10.75;3.25;1.16;0.42;0.00;9.12;0.00;-1.01
45.00;-9.69;-3.93;1.50;0.00;0.23;14.05;0.00;0.00;2.15;0.24;0.25;9.69;9.69;3.93;1.50;0.00;0.21;8.43;0.00;-0.00
46.00;-13.92;-4.58;2.23;0.40;0.00;18.82;0.00;0.69;2.21;0.30;0.25;13.92;13.92;4.58;2.23;0.36;0.00;11.29;0.00;-0.69
47.00;-13.20;-4.00;2.17;0.54;0.00;17.47;0.00;0.89;2.10;0.27;0.25;13.20;13.20;4.00;2.17;0.49;0.00;10.48;0.00;-0.89
48.00;-11.26;-3.31;2.71;0.39;0.00;13.61;0.00;0.50;1.95;0.22;0.25;11.26;11.26;3.31;2.71;0.35;0.00;8.16;0.00;-0.50
49.00;-17.59;-3.28;2.25;1.51;0.00;23.05;0.00;3.18;1.84;0.30;0.25;17.59;17.59;3.28;2.25;1.36;0.00;13.83;0.00;-3.18
50.00;-20.91;-3.71;2.05;2.57;0.00;27.14;0.00;3.89;1.42;0.34;0.25;20.91;20.91;3.71;2.05;2.32;0.00;16.28;0.00;-3.89
51.00;-12.51;-4.29;2.04;0.52;0.00;16.58;0.00;0.35;0.70;0.27;0.25;12.51;12.51;4.29;2.04;0.47;0.00;9.95;0.00;-0.35
52.00;-8.00;-4.51;2.92;0.00;4.58;16.10;0.00;0.00;0.56;0.28;0.25;8.00;8.00;4.51;2.92;0.00;4.12;9.66;0.00;-0.00
53.00;-8.60;-4.19;2.93;0.00;3.32;14.98;0.00;0.00;1.59;0.26;0.25;8.60;8.60;4.19;2.93;0.00;2.99;8.99;0.00;-0.00
54.00;-8.77;-4.25;2.81;0.00;3.16;15.19;0.00;0.00;2.34;0.26;0.25;8.77;8.77;4.25;2.81;0.00;2.84;9.11;0.00;-0.00
55.00;-15.55;-4.73;3.65;1.11;0.00;17.99;0.00;0.31;3.05;0.30;0.25;15.55;15.55;4.73;3.65;1.00;0.00;10.80;0.00;-0.31
56.00;-21.35;-4.34;5.44;5.57;0.00;17.24;0.00;0.48;2.74;0.28;0.25;21.35;21.35;4.34;5.44;5.01;0.00;10.34;0.00;-0.48
57.00;-18.48;-3.56;5.71;4.30;0.00;14.12;0.00;0.39;1.19;0.23;0.25;18.48;18.48;3.56;5.71;3.87;0.00;8.47;0.00;-0.39
58.00;-13.57;-3.60;6.37;0.00;0.52;12.86;0.00;0.00;0.00;0.22;0.25;13.57;13.57;3.60;6.37;0.00;0.47;7.72;0.00;-0.00
59.00;-11.31;-3.70;7.03;0.00;3.65;13.22;0.00;0.00;0.12;0.23;0.25;11.31;11.31;3.70;7.03;0.00;3.28;7.93;0.00;-0.00
60.00;-9.97;-2.94;7.90;0.00;4.23;10.51;0.00;0.00;0.94;0.18;0.25;9.97;9.97;2.94;7.90;0.00;3.81;6.30;0.00;-0.00
61.00;-9.37;-2.77;8.23;0.00;4.80;9.89;0.00;0.00;1.89;0.17;0.25;9.37;9.37;2.77;8.23;0.00;4.32;5.94;0.00;-0.00
62.00;-17.57;-3.72;8.06;1.54;0.00;13.28;0.00;0.00;2.97;0.23;0.25;17.57;17.57;3.72;8.06;1.39;0.00;7.97;0.00;-0.00
63.00;-19.14;-3.65;13.22;0.00;1.90;13.05;0.00;0.00;2.54;0.22;0.25;19.14;19.14;3.65;13.22;0.00;1.71;7.83;0.00;-0.00
64.00;-12.27;-3.12;10.68;0.00;5.09;11.13;0.00;0.00;2.97;0.19;0.25;12.27;12.27;3.12;10.68;0.00;4.58;6.68;0.00;-0.00
65.00;-10.71;-3.88;6.44;0.00;4.04;13.85;0.00;0.00;4.12;0.24;0.25;10.71;10.71;3.88;6.44;0.00;3.64;8.31;0.00;-0.00
66.00;-11.60;-4.03;3.89;0.00;0.94;14.41;0.00;0.00;5.02;0.25;0.25;11.60;11.60;4.03;3.89;0.00;0.84;8.64;0.00;-0.00
67.00;-9.72;-3.72;2.99;0.00;1.24;13.29;0.00;0.00;5.24;0.23;0.25;9.72;9.72;3.72;2.99;0.00;1.12;7.97;0.00;-0.00
68.00;-10.26;-4.27;2.11;0.00;1.02;15.26;0.00;0.00;5.51;0.26;0.25;10.26;10.26;4.27;2.11;0.00;0.91;9.16;0.00;-0.00
69.00;-15.64;-4.57;1.36;1.00;0.00;22.13;0.00;1.63;5.74;0.33;0.25;15.64;15.64;4.57;1.36;0.90;0.00;13.28;0.00;-1.63
70.00;-18.50;-4.21;0.42;1.21;0.00;28.12;0.00;3.66;5.46;0.37;0.25;18.50;18.50;4.21;0.42;1.09;0.00;16.87;0.00;-3.66
71.00;-12.83;-3.85;0.95;0.62;0.00;18.76;0.00;1.41;5.13;0.28;0.25;12.83;12.83;3.85;0.95;0.56;0.00;11.26;0.00;-1.41
72.00;-10.58;-4.23;0.96;0.13;0.00;15.81;0.00;0.20;4.96;0.26;0.25;10.58;10.58;4.23;0.96;0.12;0.00;9.49;0.00;-0.20
73.00;-11.37;-4.00;1.10;0.37;0.00;16.50;0.00;0.63;4.92;0.26;0.25;11.37;11.37;4.00;1.10;0.33;0.00;9.90;0.00;-0.63
74.00;-14.82;-3.74;1.39;0.80;0.00;21.05;0.00;2.16;4.82;0.29;0.25;14.82;14.82;3.74;1.39;0.72;0.00;12.63;0.00;-2.16
75.00;-20.31;-4.34;1.36;0.86;0.00;30.15;0.00;4.10;4.60;0.39;0.25;20.31;20.31;4.34;1.36;0.77;0.00;18.09;0.00;-4.10
76.00;-16.32;-4.66;0.83;0.61;0.00;24.79;0.00;2.29;4.36;0.35;0.25;16.32;16.32;4.66;0.83;0.55;0.00;14.88;0.00;-2.29
77.00;-15.03;-5.48;0.69;0.38;0.00;23.26;0.00;1.03;4.19;0.37;0.25;15.03;15.03;5.48;0.69;0.34;0.00;13.95;0.00;-1.03
78.00;-13.14;-5.07;0.75;0.32;0.00;20.11;0.00;0.56;4.08;0.33;0.25;13.14;13.14;5.07;0.75;0.29;0.00;12.06;0.00;-0.56
79.00;-11.92;-4.60;0.61;0.29;0.00;18.36;0.00;0.54;3.99;0.30;0.25;11.92;11.92;4.60;0.61;0.26;0.00;11.02;0.00;-0.54
80.00;-19.74;-4.99;0.46;0.60;0.00;31.14;0.00;3.73;3.91;0.42;0.25;19.74;19.74;4.99;0.46;0.54;0.00;18.68;0.00;-3.73
81.00;-19.91;-4.95;0.36;0.60;0.00;31.57;0.00;3.89;3.75;0.42;0.25;19.91;19.91;4.95;0.36;0.54;0.00;18.94;0.00;-3.89
82.00;-14.12;-4.32;0.23;0.47;0.00;22.36;0.00;1.94;3.58;0.32;0.25;14.12;14.12;4.32;0.23;0.42;0.00;13.42;0.00;-1.94
83.00;-16.41;-4.46;0.10;0.47;0.00;26.39;0.00;2.93;3.45;0.36;0.25;16.41;16.41;4.46;0.10;0.42;0.00;15.84;0.00;-2.93
84.00;-14.48;-4.44;0.00;0.43;0.00;23.40;0.00;2.11;3.32;0.33;0.25;14.48;14.48;4.44;0.00;0.39;0.00;14.04;0.00;-2.11
85.00;-9.50;-3.65;0.00;0.29;0.00;15.36;0.00;0.65;3.20;0.24;0.25;9.50;9.50;3.65;0.00;0.26;0.00;9.21;0.00;-0.65
86.00;-15.41;-3.53;0.00;0.45;0.00;24.94;0.00;3.45;3.11;0.32;0.25;15.41;15.41;3.53;0.00;0.41;0.00;14.96;0.00;-3.45
87.00;-16.84;-3.46;0.00;0.46;0.00;27.30;0.00;4.18;2.99;0.34;0.25;16.84;16.84;3.46;0.00;0.42;0.00;16.38;0.00;-4.18
88.00;-10.75;-3.01;0.00;0.41;0.00;17.23;0.00;1.82;2.86;0.24;0.25;10.75;10.75;3.01;0.00;0.37;0.00;10.34;0.00;-1.82
89.00;-11.80;-2.94;0.00;0.38;0.00;19.04;0.00;2.39;2.75;0.25;0.25;11.80;11.80;2.94;0.00;0.34;0.00;11.42;0.00;-2.39
90.00;-17.13;-3.15;0.00;0.39;0.00;27.91;0.00;4.67;2.64;0.33;0.25;17.13;17.13;3.15;0.00;0.35;0.00;16.74;0.00;-4.67
