timeStep;demandHeat;demandElectricity;ThermalStorage4Discharge;ThermalStorage4Charge;CHP4;ElecBuy;ElecSell;ThermalStorage4SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusThermalStorage4Discharge;plusThermalStorage4Charge;plusCHP4;plusElecBuy;plusElecSell
36.00;-8.39;-7.27;0.00;0.00;13.75;3.29;0.00;0.00;0.28;1.08;0.05;8.39;8.39;7.27;0.00;0.00;8.39;3.29;-0.00
37.00;-8.52;-7.12;0.00;0.00;13.97;3.07;0.00;0.00;0.28;1.07;0.05;8.52;8.52;7.12;0.00;0.00;8.52;3.07;-0.00
38.00;-11.80;-6.36;0.00;0.00;19.35;0.75;0.00;0.00;0.34;1.07;0.05;11.80;11.80;6.36;0.00;0.00;11.80;0.75;-0.00
39.00;-12.39;-7.50;0.00;0.00;20.32;1.61;0.00;0.00;0.37;1.22;0.05;12.39;12.39;7.50;0.00;0.00;12.39;1.61;-0.00
40.00;-13.79;-6.71;0.00;0.00;22.60;0.16;0.00;0.00;0.39;1.16;0.05;13.79;13.79;6.71;0.00;0.00;13.79;0.16;-0.00
41.00;-12.20;-6.90;0.00;0.00;20.00;1.10;0.00;0.00;0.36;1.14;0.05;12.20;12.20;6.90;0.00;0.00;12.20;1.10;-0.00
42.00;-9.15;-6.08;0.00;0.00;15.00;1.73;0.00;0.00;0.28;0.96;0.05;9.15;9.15;6.08;0.00;0.00;9.15;1.73;-0.00
43.00;-10.73;-3.90;0.00;0.00;17.58;0.00;1.20;0.00;0.29;0.89;0.05;10.73;10.73;3.90;0.00;0.00;10.73;0.00;-1.20
44.00;-14.01;-3.98;0.00;0.00;22.97;0.00;2.68;0.00;0.38;1.16;0.05;14.01;14.01;3.98;0.00;0.00;14.01;0.00;-2.68
45.00;-18.54;-4.23;0.00;0.00;30.40;0.00;4.58;0.00;0.46;1.54;0.11;18.54;18.54;4.23;0.00;0.00;18.54;0.00;-4.58
46.00;-14.15;-4.23;0.00;0.00;23.20;0.00;2.49;0.00;0.34;1.17;0.18;14.15;14.15;4.23;0.00;0.00;14.15;0.00;-2.49
47.00;-10.04;-4.72;0.00;0.00;16.46;0.00;0.06;0.00;0.28;0.83;0.24;10.04;10.04;4.72;0.00;0.00;10.04;0.00;-0.06
48.00;-9.74;-5.71;0.00;2.27;19.68;0.00;0.00;0.00;0.34;0.99;0.30;9.74;9.74;5.71;0.00;2.04;12.01;0.00;-0.00
49.00;-8.15;-6.50;0.00;5.53;22.42;0.00;0.00;0.51;0.38;1.13;0.30;8.15;8.15;6.50;0.00;4.97;13.68;0.00;-0.00
50.00;-7.94;-7.62;0.00;8.09;26.28;0.00;0.00;1.75;0.45;1.33;0.30;7.94;7.94;7.62;0.00;7.28;16.03;0.00;-0.00
51.00;-8.67;-8.86;0.00;9.97;30.54;0.00;0.00;3.58;0.52;1.54;0.30;8.67;8.67;8.86;0.00;8.97;18.63;0.00;-0.00
52.00;-9.23;-8.71;0.00;9.09;30.03;0.00;0.00;5.82;0.51;1.52;0.30;9.23;9.23;8.71;0.00;8.18;18.32;0.00;-0.00
53.00;-9.14;-6.60;0.00;4.75;22.77;0.00;0.00;7.86;0.39;1.15;0.30;9.14;9.14;6.60;0.00;4.27;13.89;0.00;-0.00
54.00;-9.54;-5.13;0.00;1.25;17.69;0.00;0.00;8.93;0.30;0.89;0.30;9.54;9.54;5.13;0.00;1.12;10.79;0.00;-0.00
55.00;-8.97;-4.75;0.00;1.03;16.39;0.00;0.00;9.21;0.28;0.83;0.30;8.97;8.97;4.75;0.00;0.92;10.00;0.00;-0.00
56.00;-19.39;-4.07;5.74;0.00;22.37;0.00;2.41;9.44;0.29;1.13;0.30;19.39;19.39;4.07;5.17;0.00;13.64;0.00;-2.41
57.00;-29.85;-3.89;12.43;0.00;28.55;0.00;4.39;7.85;0.32;1.44;0.30;29.85;29.85;3.89;11.19;0.00;17.42;0.00;-4.39
58.00;-22.19;-4.64;5.03;0.00;28.13;0.00;3.52;4.39;0.35;1.42;0.30;22.19;22.19;4.64;4.53;0.00;17.16;0.00;-3.52
59.00;-17.53;-5.23;1.26;0.00;26.68;0.00;2.51;2.99;0.36;1.35;0.30;17.53;17.53;5.23;1.13;0.00;16.27;0.00;-2.51
60.00;-16.40;-4.54;0.89;0.00;25.42;0.00;2.83;2.65;0.33;1.28;0.30;16.40;16.40;4.54;0.80;0.00;15.51;0.00;-2.83
61.00;-12.60;-3.30;1.02;0.00;19.00;0.00;2.21;2.40;0.24;0.96;0.30;12.60;12.60;3.30;0.91;0.00;11.59;0.00;-2.21
62.00;-18.98;-3.53;1.60;0.00;28.50;0.00;4.74;2.12;0.31;1.44;0.30;18.98;18.98;3.53;1.44;0.00;17.39;0.00;-4.74
63.00;-18.17;-3.51;1.07;0.00;28.03;0.00;4.62;1.67;0.31;1.42;0.30;18.17;18.17;3.51;0.96;0.00;17.10;0.00;-4.62
64.00;-11.88;-4.42;0.60;0.00;18.49;0.00;0.95;1.38;0.28;0.93;0.30;11.88;11.88;4.42;0.54;0.00;11.28;0.00;-0.95
65.00;-16.50;-5.97;1.23;0.00;25.02;0.00;1.29;1.21;0.38;1.26;0.30;16.50;16.50;5.97;1.11;0.00;15.26;0.00;-1.29
66.00;-18.87;-6.41;3.12;0.00;25.83;0.00;1.08;0.87;0.40;1.30;0.30;18.87;18.87;6.41;2.81;0.00;15.75;0.00;-1.08
67.00;-11.38;-7.83;0.00;5.09;27.00;0.00;0.00;0.00;0.46;1.36;0.30;11.38;11.38;7.83;0.00;4.58;16.47;0.00;-0.00
68.00;-16.94;-10.40;0.00;4.95;35.87;0.00;0.00;1.15;0.61;1.81;0.30;16.94;16.94;10.40;0.00;4.45;21.88;0.00;-0.00
69.00;-22.45;-11.28;0.00;1.27;38.89;0.00;0.00;2.26;0.67;1.96;0.30;22.45;22.45;11.28;0.00;1.15;23.72;0.00;-0.00
70.00;-15.54;-9.30;0.00;4.01;32.05;0.00;0.00;2.54;0.55;1.62;0.30;15.54;15.54;9.30;0.00;3.61;19.55;0.00;-0.00
71.00;-8.43;-7.31;0.00;6.95;25.21;0.00;0.00;3.45;0.43;1.27;0.30;8.43;8.43;7.31;0.00;6.26;15.38;0.00;-0.00
72.00;-9.77;-7.90;0.00;6.84;27.24;0.00;0.00;5.01;0.47;1.38;0.30;9.77;9.77;7.90;0.00;6.16;16.62;0.00;-0.00
73.00;-14.81;-8.20;0.00;2.44;28.28;0.00;0.00;6.55;0.48;1.43;0.30;14.81;14.81;8.20;0.00;2.20;17.25;0.00;-0.00
74.00;-17.64;-6.75;3.43;0.00;23.29;0.00;0.00;7.10;0.40;1.18;0.30;17.64;17.64;6.75;3.09;0.00;14.21;0.00;-0.00
75.00;-16.91;-5.70;4.92;0.00;19.67;0.00;0.00;6.15;0.34;0.99;0.30;16.91;16.91;5.70;4.43;0.00;12.00;0.00;-0.00
