timeStep;demandHeat;demandElectricity;PV3;GasBoiler3;ThermalStorage3Discharge;ThermalStorage3Charge;HeatPump3;ElecBuy;ElecSell;ThermalStorage3SOC;Cost;CO2;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusPV3;plusGasBoiler3;plusThermalStorage3Discharge;plusThermalStorage3Charge;plusHeatPump3;plusElecBuy;plusElecSell
30.00;-10.31;-5.25;2.19;0.00;0.00;0.00;4.12;7.19;0.00;0.00;0.09;0.85;0.05;10.31;10.31;5.25;2.19;0.00;0.00;0.00;10.31;7.19;-0.00
31.00;-20.12;-4.83;2.37;0.00;0.00;0.00;8.05;10.51;0.00;0.00;0.13;1.25;0.05;20.12;20.12;4.83;2.37;0.00;0.00;0.00;20.12;10.51;-0.00
32.00;-23.28;-4.60;2.43;0.00;0.00;0.00;9.31;11.49;0.00;0.00;0.14;1.36;0.05;23.28;23.28;4.60;2.43;0.00;0.00;0.00;23.28;11.49;-0.00
33.00;-19.34;-5.02;2.01;0.00;0.00;0.00;7.74;10.74;0.00;0.00;0.13;1.27;0.05;19.34;19.34;5.02;2.01;0.00;0.00;0.00;19.34;10.74;-0.00
34.00;-22.82;-5.49;1.80;0.00;0.00;0.00;9.13;12.82;0.00;0.00;0.16;1.52;0.05;22.82;22.82;5.49;1.80;0.00;0.00;0.00;22.82;12.82;-0.00
35.00;-22.59;-5.92;1.45;0.00;0.00;0.00;9.04;13.51;0.00;0.00;0.17;1.60;0.05;22.59;22.59;5.92;1.45;0.00;0.00;0.00;22.59;13.51;-0.00
36.00;-16.78;-5.88;1.57;0.00;0.00;0.00;6.71;11.02;0.00;0.00;0.14;1.31;0.05;16.78;16.78;5.88;1.57;0.00;0.00;0.00;16.78;11.02;-0.00
37.00;-10.70;-5.68;2.00;0.00;0.00;0.00;4.28;7.95;0.00;0.00;0.10;0.94;0.05;10.70;10.70;5.68;2.00;0.00;0.00;0.00;10.70;7.95;-0.00
38.00;-17.72;-5.62;2.53;0.00;0.00;0.00;7.09;10.18;0.00;0.00;0.13;1.21;0.05;17.72;17.72;5.62;2.53;0.00;0.00;0.00;17.72;10.18;-0.00
39.00;-21.35;-5.39;2.81;0.00;0.00;0.12;8.59;11.16;0.00;0.00;0.14;1.32;0.05;21.35;21.35;5.39;2.81;0.00;0.00;0.10;21.47;11.16;-0.00
