timeStep;demandHeat;demandElectricity;SolarThermic5;ThermalStorage5Discharge;ThermalStorage5Charge;CHP5;ElecBuy;ElecSell;ThermalStorage5SOC;Cost;Price;positiveDemandHeat;positiveDemandHeatTotal;positiveDemandElectricity;plusSolarThermic5;plusThermalStorage5Discharge;plusThermalStorage5Charge;plusCHP5;plusElecBuy;plusElecSell
34.00;-15.28;-3.49;0.90;0.13;0.00;23.74;0.00;3.15;0.21;0.31;0.25;15.28;15.28;3.49;0.90;0.12;0.00;14.25;0.00;-3.15
35.00;-15.05;-3.66;0.73;0.10;0.00;23.70;0.00;2.98;0.17;0.31;0.25;15.05;15.05;3.66;0.73;0.09;0.00;14.22;0.00;-2.98
36.00;-11.13;-3.78;0.78;0.08;0.00;17.11;0.00;1.01;0.15;0.26;0.25;11.13;11.13;3.78;0.78;0.07;0.00;10.27;0.00;-1.01
37.00;-7.89;-3.67;1.00;0.00;0.98;13.12;0.00;0.00;0.12;0.22;0.25;7.89;7.89;3.67;1.00;0.00;0.88;7.87;0.00;-0.00
38.00;-12.49;-3.47;1.27;0.17;0.00;18.43;0.00;1.69;0.34;0.26;0.25;12.49;12.49;3.47;1.27;0.15;0.00;11.06;0.00;-1.69
39.00;-14.59;-3.67;1.40;0.15;0.00;21.73;0.00;2.41;0.30;0.30;0.25;14.59;14.59;3.67;1.40;0.14;0.00;13.04;0.00;-2.41
40.00;-8.66;-3.55;1.37;0.00;0.32;12.68;0.00;0.00;0.25;0.22;0.25;8.66;8.66;3.55;1.37;0.00;0.29;7.61;0.00;-0.00
41.00;-12.06;-3.64;1.44;0.11;0.00;17.50;0.00;1.26;0.33;0.26;0.25;12.06;12.06;3.64;1.44;0.10;0.00;10.50;0.00;-1.26
42.00;-15.83;-3.17;1.18;0.16;0.00;24.14;0.00;3.59;0.30;0.30;0.25;15.83;15.83;3.17;1.18;0.15;0.00;14.49;0.00;-3.59
43.00;-14.42;-2.72;1.23;0.13;0.00;21.77;0.00;3.38;0.25;0.27;0.25;14.42;14.42;2.72;1.23;0.11;0.00;13.06;0.00;-3.38
44.00;-10.75;-3.25;1.16;0.10;0.00;15.81;0.00;1.18;0.22;0.23;0.25;10.75;10.75;3.25;1.16;0.09;0.00;9.49;0.00;-1.18
45.00;-9.69;-3.93;1.50;0.00;0.23;14.05;0.00;0.00;0.19;0.24;0.25;9.69;9.69;3.93;1.50;0.00;0.21;8.43;0.00;-0.00
46.00;-13.92;-4.58;2.23;0.09;0.00;19.34;0.00;0.84;0.24;0.31;0.25;13.92;13.92;4.58;2.23;0.08;0.00;11.60;0.00;-0.84
47.00;-13.20;-4.00;2.17;0.09;0.00;18.22;0.00;1.10;0.22;0.28;0.25;13.20;13.20;4.00;2.17;0.08;0.00;10.93;0.00;-1.10
48.00;-11.26;-3.31;2.71;0.06;0.00;14.15;0.00;0.65;0.19;0.22;0.25;11.26;11.26;3.31;2.71;0.06;0.00;8.49;0.00;-0.65
49.00;-17.59;-3.28;2.25;0.12;0.00;25.37;0.00;3.83;0.17;0.31;0.25;17.59;17.59;3.28;2.25;0.11;0.00;15.22;0.00;-3.83
50.00;-20.91;-3.71;2.05;0.19;0.00;31.11;0.00;5.00;0.14;0.38;0.25;20.91;20.91;3.71;2.05;0.17;0.00;18.67;0.00;-5.00
51.00;-12.51;-4.29;2.04;0.31;0.00;16.92;0.00;0.45;0.09;0.28;0.25;12.51;12.51;4.29;2.04;0.28;0.00;10.15;0.00;-0.45
52.00;-8.00;-4.51;0.00;0.00;1.66;16.10;0.00;0.00;0.00;0.28;0.25;8.00;8.00;4.51;0.00;0.00;1.50;9.66;0.00;-0.00
53.00;-8.60;-4.19;2.93;0.00;3.32;14.98;0.00;0.00;0.37;0.26;0.25;8.60;8.60;4.19;2.93;0.00;2.99;8.99;0.00;-0.00
54.00;-8.77;-4.25;2.81;0.00;3.16;15.19;0.00;0.00;1.12;0.26;0.25;8.77;8.77;4.25;2.81;0.00;2.84;9.11;0.00;-0.00
55.00;-15.55;-4.73;3.65;0.57;0.00;18.89;0.00;0.56;1.83;0.31;0.25;15.55;15.55;4.73;3.65;0.51;0.00;11.34;0.00;-0.56
56.00;-21.35;-4.34;5.44;2.90;0.00;21.69;0.00;1.73;1.67;0.32;0.25;21.35;21.35;4.34;5.44;2.61;0.00;13.01;0.00;-1.73
57.00;-18.48;-3.56;5.71;3.13;0.00;16.06;0.00;0.94;0.87;0.25;0.25;18.48;18.48;3.56;5.71;2.82;0.00;9.64;0.00;-0.94
58.00;-13.57;-3.60;5.86;0.00;0.00;12.86;0.00;0.00;0.00;0.22;0.25;13.57;13.57;3.60;5.86;0.00;0.00;7.72;0.00;-0.00
59.00;-11.31;-3.70;4.26;0.00;0.87;13.22;0.00;0.00;0.00;0.23;0.25;11.31;11.31;3.70;4.26;0.00;0.78;7.93;0.00;-0.00
60.00;-9.97;-2.94;4.28;0.00;0.61;10.51;0.00;0.00;0.20;0.18;0.25;9.97;9.97;2.94;4.28;0.00;0.55;6.30;0.00;-0.00
61.00;-9.37;-2.77;3.86;0.00;0.43;9.89;0.00;0.00;0.33;0.17;0.25;9.37;9.37;2.77;3.86;0.00;0.38;5.94;0.00;-0.00
62.00;-17.57;-3.72;8.06;1.54;0.00;13.28;0.00;0.00;0.43;0.23;0.25;17.57;17.57;3.72;8.06;1.39;0.00;7.97;0.00;-0.00
63.00;-19.14;-3.65;11.32;0.00;0.00;13.05;0.00;0.00;0.00;0.22;0.25;19.14;19.14;3.65;11.32;0.00;0.00;7.83;0.00;-0.00
64.00;-12.27;-3.12;5.59;0.00;0.00;11.13;0.00;0.00;0.00;0.19;0.25;12.27;12.27;3.12;5.59;0.00;0.00;6.68;0.00;-0.00
65.00;-10.71;-3.88;2.40;0.00;0.00;13.85;0.00;0.00;0.00;0.24;0.25;10.71;10.71;3.88;2.40;0.00;0.00;8.31;0.00;-0.00
66.00;-11.60;-4.03;3.89;0.00;0.94;14.41;0.00;0.00;0.00;0.25;0.25;11.60;11.60;4.03;3.89;0.00;0.84;8.64;0.00;-0.00
67.00;-9.72;-3.72;2.99;0.00;1.24;13.29;0.00;0.00;0.21;0.23;0.25;9.72;9.72;3.72;2.99;0.00;1.12;7.97;0.00;-0.00
68.00;-10.26;-4.27;2.11;0.00;1.02;15.26;0.00;0.00;0.49;0.26;0.25;10.26;10.26;4.27;2.11;0.00;0.91;9.16;0.00;-0.00
69.00;-15.64;-4.57;1.36;0.36;0.00;23.20;0.00;1.93;0.72;0.34;0.25;15.64;15.64;4.57;1.36;0.32;0.00;13.92;0.00;-1.93
70.00;-18.50;-4.21;0.42;0.51;0.00;29.29;0.00;3.99;0.62;0.38;0.25;18.50;18.50;4.21;0.42;0.46;0.00;17.57;0.00;-3.99
71.00;-12.83;-3.85;0.95;0.19;0.00;19.47;0.00;1.61;0.48;0.28;0.25;12.83;12.83;3.85;0.95;0.17;0.00;11.68;0.00;-1.61
72.00;-10.58;-4.23;0.96;0.10;0.00;15.87;0.00;0.21;0.43;0.27;0.25;10.58;10.58;4.23;0.96;0.09;0.00;9.52;0.00;-0.21
